region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
CAR,Baguio,G. Aviation,52,40,82,150,63,45,32,9,90,60,62,94,779
CAR,Baguio,Military,-,133,124,124,220,22,154,-,3,46,102,152,1080
I (Ilocos Norte),Laoag  (International),Far East Trans,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (International),Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (International),China Southern,-,-,-,-,-,-,-,-,-,-,2428,-,2428
I (Ilocos Norte),Laoag  (International),Hongkong Express,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (International),Mandarin Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (International),Air Macao,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (International),China Eastern,-,1939,1939,1939,1502,1722,1963,-,-,-,-,2060,13064
I (Ilocos Norte),Laoag  (International),Hongkong Airlines,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),Jet Asia,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),Cebu Pacific,3773,3672,3672,3462,3672,3127,2863,2879,8026,2573,3672,3031,44422
I (Ilocos Norte),Laoag  (Domestic),Philippine Airlines,13856,12670,12963,14024,13208,12410,11501,10593,8951,9476,11751,12788,144191
I (Ilocos Norte),Laoag  (Domestic),Military,-,-,-,-,-,-,-,-,-,-,-,-,0
I (Ilocos Norte),Laoag  (Domestic),G. Aviation,-,-,-,-,-,-,-,-,13,-,-,38,51
I (Ilocos Norte),Lingayen,G. Aviation,1108,1847,1918,1976,2241,2020,1966,1321,1825,2108,2363,1725,22418
I (Ilocos Norte),Lingayen,Military,16,-,-,-,20,-,-,-,-,-,-,-,36
I (Ilocos Norte),Rosales,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
