region,airport,airline_operator,january,february,march,april,may,june,july,august,september,october,november,december,total
X (Northern Mindanao),Laguindingan,Tiger Air/Cebgo,13496,11826,10899,6925,7270,5986,8480,8341,514,7451,9465,10395,101048
X (Northern Mindanao),Laguindingan,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Camiguin,Cebu Pacific,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Camiguin,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
X (Northern Mindanao),Ozamis,Philippine Airlines,7304,5883,6298,7291,7738,7151,6442,6392,6037,7230,6443,7776,81985
X (Northern Mindanao),Ozamis,Cebu Pacific,15063,12398,15058,18070,20165,17528,17383,16712,16066,18074,25647,16737,208901
X (Northern Mindanao),Ozamis,G. Aviation,-,-,-,80,-,-,-,-,-,-,-,-,80
X (Northern Mindanao),Ozamis,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Siargao,Cebu Pacific,4094,3730,3980,4423,6705,4348,4067,4137,4130,4660,4233,4494,53001
XIII (Caraga),Siargao,G. Aviation,9,2,45,31,51,11,-,-,-,-,-,-,149
XIII (Caraga),Siargao,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Surigao,Cebgo,3499,3228,6088,5872,7058,4045,6047,5128,3676,4660,4310,5462,59073
XIII (Caraga),Surigao,Philippine Airlines,3640,4480,3795,3876,4287,4055,3979,3978,3267,3339,2910,3203,44809
XIII (Caraga),Surigao,G. Aviation,167,39,73,72,8,7,9,16,8,-,8,22,429
XIII (Caraga),Surigao,Military,-,-,-,-,-,-,-,2,-,-,-,-,2
XII (SOCCSKSARGEN),Allah Valley,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),Bislig,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),General Santos Tambler,Philippine Airlines,19949,19040,18767,23617,21862,21594,21289,18997,18190,19920,20929,23978,248132
XI (Davao Region),General Santos Tambler,Cebgo,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),General Santos Tambler,Cebu Pacific,50534,46366,49181,53952,59157,47888,45459,45692,40788,47178,48853,53347,588395
XI (Davao Region),General Santos Tambler,G. Aviation,112,534,398,320,242,94,240,26,102,88,114,70,2340
XI (Davao Region),General Santos Tambler,Military,-,-,-,12,-,-,16,10,-,-,-,36,74
XI (Davao Region),Davao (International) ,Silk Air,5037,3597,4600,5270,5657,4792,5055,5428,4510,4702,4910,5785,59343
XI (Davao Region),Davao (International) ,Cebu Pacific,2330,2193,2306,3324,3805,3249,2837,2307,1769,2702,1861,2801,31484
XI (Davao Region),Davao (International) ,Xiamen Air,-,-,-,-,-,-,-,-,109,146,-,-,255
XI (Davao Region),Davao (Domestic,Philippine Airlines,74030,65556,66583,87734,88635,89917,87129,90960,67240,67030,85398,84255,954467
XI (Davao Region),Davao (Domestic,Cebu Pacific,172741,167147,176276,196597,201562,172565,158475,168531,159825,169485,178517,177345,2099066
XI (Davao Region),Davao (Domestic,Air Philippines,-,-,-,-,-,-,-,-,10580,12071,11874,12552,47077
XI (Davao Region),Davao (Domestic,Zest Air,25347,24048,24616,28682,27401,25589,26007,25137,21406,22628,25256,27679,303796
XI (Davao Region),Davao (Domestic,Mid Sea Express,-,-,-,-,-,-,-,-,-,-,-,-,0
XI (Davao Region),Davao (Domestic,Cebgo,4740,4360,4681,3780,3595,3497,3614,3668,348,2481,3681,3471,41916
XI (Davao Region),Davao (Domestic,G. Aviation,1065,1156,1430,1739,1493,1595,1175,1589,1357,1128,966,1104,15797
XI (Davao Region),Mati,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Tandag,Cebu Pacific,1603,1408,1444,1435,1486,1357,1504,1682,1569,1299,1422,1566,17775
XIII (Caraga),Tandag,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
XIII (Caraga),Tandag,Military,-,-,-,-,-,-,-,-,-,-,-,-,0
ARMM,Cotabato,Cebu Pacific,11313,11388,12254,12736,12836,11945,12326,12509,12228,12272,13447,13158,148412
ARMM,Cotabato,Philippine Airlines,-,-,-,-,5532,4093,-,563,506,259,2947,1712,15612
ARMM,Cotabato,Philippine Airlines Express,7929,7156,8039,9616,3617,4702,10848,8297,7417,8591,5904,7357,89473
ARMM,Cotabato,Military,461,430,81,298,620,40,225,101,128,-,592,836,3812
ARMM,Cotabato,G. Aviation,92,107,138,160,230,150,140,52,52,62,15,22,1220
X (Northern Mindanao),Iligan,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
ARMM,Malabang,G. Aviation,-,-,-,-,-,-,-,-,-,-,-,-,0
