region,subregion,country,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
A S I A,ASEAN,BRUNEI,706,544,978,831,670,636,598,718,783,583,725,907
A S I A,ASEAN,CAMBODIA,223,374,294,501,347,305,358,411,447,494,574,384
A S I A,ASEAN,INDONESIA,"4,138","4,517","4,624","5,572","5,045",,"4,317","4,887","4,816","8,581","5,073","5,939"
A S I A,ASEAN,LAOS,48,107,77,168,106,119,131,155,211,180,199,79
A S I A,ASEAN,MALAYSIA,"10,215","11,335","12,861","12,839","13,328","11,633","10,632","12,336","11,541","12,435","12,852",
A S I A,ASEAN,MYANMAR,659,620,836,848,783,757,852,906,818,819,990,683
A S I A,ASEAN,SINGAPORE,"12,000","13,309","15,086","13,895","15,895","15,022","12,535","13,726","13,974","13,597","14,752",
A S I A,ASEAN,THAILAND,"3,644","3,638","4,173","4,926","4,334",,"3,279","3,671","4,008","4,145","4,530","4,768"
A S I A,ASEAN,VIETNAM,"3,767","3,536","3,014","4,023","3,966",,"3,597","3,003","2,776","2,798","2,801","3,652"
A S I A,EAST ASIA,CHINA,"85,948","78,251","76,155","74,893","73,649","66,066","90,763","95,687","79,463","89,932","79,307",
A S I A,EAST ASIA,HONGKONG,"10,006","8,170","7,746","12,260","9,280",,"8,191","9,810","9,026","9,187","9,226","9,186"
A S I A,EAST ASIA,JAPAN,"51,516","53,957","60,778","44,872","44,696","38,261","47,377","64,114","46,553","38,733","44,952",
A S I A,EAST ASIA,KOREA,"154,367","150,685","135,813","117,074","128,691","108,455","132,135","141,869","123,834","139,218",,"125,583"
A S I A,EAST ASIA,MACAU,760,705,702,911,948,640,813,669,680,799,728,756
A S I A,EAST ASIA,TAIWAN,"21,926","20,472","22,498","21,318","22,429","18,374","20,451","19,993","17,112","21,241","16,052",
A S I A,SOUTH ASIA,BANGLADESH,368,332,355,346,318,314,393,353,425,461,519,407
A S I A,SOUTH ASIA,INDIA,"11,805","7,621","7,479","8,842","9,928",,"8,988","9,637","8,081","8,389","8,062","10,256"
A S I A,SOUTH ASIA,IRAN,182,131,433,210,208,246,178,196,209,176,249,180
A S I A,SOUTH ASIA,NEPAL,296,247,608,798,778,308,346,410,227,227,498,585
A S I A,SOUTH ASIA,PAKISTAN,433,368,407,401,360,289,424,343,367,284,393,300
A S I A,SOUTH ASIA,SRI LANKA,469,433,467,443,477,380,412,528,463,411,440,420
A S I A,MIDDLE EAST,BAHRAIN,308,298,285,350,258,284,503,392,283,298,281,255
A S I A,MIDDLE EAST,EGYPT,175,135,141,192,199,142,241,134,146,148,178,169
A S I A,MIDDLE EAST,JORDAN,73,54,63,76,80,58,89,48,44,53,64,43
A S I A,MIDDLE EAST,KUWAIT,756,559,617,753,661,640,873,837,668,575,650,493
A S I A,MIDDLE EAST,QATAR*,393,346,346,391,341,380,346,369,319,305,316,343
A S I A,MIDDLE EAST,SAUDI ARABIA,"5,020","4,051","4,341","4,820","3,096",,"3,228","8,227","7,155","4,658","3,933","4,120"
A S I A,MIDDLE EAST,UNITED ARAB EMIRATES,"1,077","1,130","1,733","1,503","1,383",,"1,367","1,602","1,457","1,223","1,224","1,274"
A M E R I C A,NORTH AMERICA,CANADA,"24,352","19,016","17,470","19,755","16,794","10,856","15,159","11,057","10,686","13,080","17,344",
A M E R I C A,NORTH AMERICA,MEXICO,366,309,268,362,315,298,333,270,354,414,820,"1,635"
A M E R I C A,NORTH AMERICA,USA,"99,435","80,463","78,199","87,614","83,056","84,676","86,017","61,415","56,827","67,567","74,704",
A M E R I C A,SOUTH AMERICA,ARGENTINA,533,380,367,353,291,178,79,118,115,211,242,290
A M E R I C A,SOUTH AMERICA,BRAZIL,719,592,568,650,619,341,357,389,339,371,482,687
A M E R I C A,SOUTH AMERICA,COLOMBIA,182,104,153,145,119,114,131,121,132,157,146,243
A M E R I C A,SOUTH AMERICA,PERU,80,55,67,73,73,38,43,45,50,53,72,359
A M E R I C A,SOUTH AMERICA,VENEZUELA,35,28,14,25,13,11,21,15,21,19,33,22
E U R O P E,WESTERN EUROPE,ANDORRA,30,16,23,17,33,21,17,66,28,31,40,35
E U R O P E,WESTERN EUROPE,AUSTRIA,"1,647","1,631","1,309","1,222",803,755,"1,503",834,595,821,950,"1,454"
E U R O P E,WESTERN EUROPE,BELGIUM,"1,328","1,173","1,414","1,594","1,047",,"1,167","2,101","1,010",865,"1,020","1,248"
E U R O P E,WESTERN EUROPE,FRANCE,"7,459","8,498","7,757","7,563","4,676",,"2,937","4,555","3,775","2,918","3,913","4,655"
E U R O P E,WESTERN EUROPE,GERMANY,"8,917","10,003","10,381","8,296","5,887",,"4,513","6,008","5,495","4,624","5,982","6,492"
E U R O P E,WESTERN EUROPE,LUXEMBOURG,51,64,70,86,47,24,71,67,41,67,63,71
E U R O P E,WESTERN EUROPE,NETHERLANDS,"3,852","3,038","2,854","3,337","2,738",,"2,020","3,224","2,135","1,897","2,105","3,066"
E U R O P E,WESTERN EUROPE,SWITZERLAND,"3,329","3,244","2,791","3,547","2,098",,"1,392","2,375","1,448","1,497","2,141","2,382"
E U R O P E,NORTHERN EUROPE,DENMARK,"2,511","2,764","1,669","1,948","1,064",,"1,169","1,457",850,918,"1,069","1,284"
E U R O P E,NORTHERN EUROPE,FINLAND,"1,014",922,662,637,472,531,242,240,312,391,616,919
E U R O P E,NORTHERN EUROPE,IRELAND,"1,545","1,147","1,421","1,722","1,422",,"2,095","2,150","1,231","1,020","1,150","1,185"
E U R O P E,NORTHERN EUROPE,NORWAY,"2,109","1,930","1,635","1,956","1,210",,"2,676","2,800","1,094","1,066","1,342","1,503"
E U R O P E,NORTHERN EUROPE,SWEDEN,"4,029","3,786","2,831","2,285","1,407",,"1,898","1,553",906,"1,076","1,416","2,202"
E U R O P E,NORTHERN EUROPE,UNITED KINGDOM,"15,747","15,226","16,380","20,835","14,224","11,237","17,254","14,105","10,860","12,695","14,818",
E U R O P E,SOUTHERN EUROPE,GREECE,253,275,303,268,247,202,185,205,249,251,352,375
E U R O P E,SOUTHERN EUROPE,ITALY,"3,454","3,150","2,897","2,887","1,931",,"1,710","2,363","2,695","1,520","1,744","2,357"
E U R O P E,SOUTHERN EUROPE,PORTUGAL,565,325,360,516,281,205,204,229,223,310,561,410
E U R O P E,SOUTHERN EUROPE,SPAIN,"3,368","2,876","2,719","3,612","2,285",,"2,205","3,572","3,967","2,198","2,760","3,534"
E U R O P E,EASTERN EUROPE,COMMONWEALTH OF INDEPENDENT STATES,"1,216",935,"1,157",843,692,731,757,756,802,830,"1,030","1,059"
E U R O P E,EASTERN EUROPE,RUSSIAN FEDERATION,"4,990","4,522","3,979","2,709","1,766",,"1,399","1,380","1,256","1,438","2,554","3,198"
E U R O P E,EASTERN EUROPE,TOTAL (CIS & RUSSIA),"6,206","5,457","5,136","3,552","2,458","2,130","2,137","2,012","2,240","3,384","4,228","5,147"
E U R O P E,EASTERN EUROPE,POLAND,"1,458","1,682","1,417","1,002",641,410,493,410,500,627,"1,168",978
E U R O P E,EASTERN MEDITERRANEAN EUROPE**,ISRAEL,"2,000","1,919","1,596","2,043","1,179",748,"1,006",966,"1,491","1,487","1,333","1,678"
E U R O P E,EASTERN MEDITERRANEAN EUROPE**,TURKEY,974,798,975,573,600,565,646,732,559,559,759,668
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,AUSTRALIA,,"27,826","20,157","18,824","26,447","19,560","18,178","19,985","16,016","19,858","19,592","21,269"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,GUAM,,"2,608","2,536","2,390","2,872","2,865","4,096","4,222","2,670","2,850","2,912","3,316"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,NAURU,,1,2,2,-,1,- ,1,2,-,-,7
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,NEW ZEALAND,,"2,705","1,843","2,057","2,813","2,240","2,105","2,649","1,880","2,106","2,196","2,482"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,PAPUA NEW GUINEA,,890,448,535,705,652,695,650,650,711,687,700
A F R I C A,A F R I C A,NIGERIA,,155,124,97,94,111,96,170,198,160,134,128
A F R I C A,A F R I C A,SOUTH AFRICA,,587,399,471,670,462,446,546,417,450,496,497
