region,subregion,country,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
A S I A,ASEAN,BRUNEI,709,758,"1,013",518,892,"1,032",714,555,780,697,919,"1,090"
A S I A,ASEAN,CAMBODIA,254,216,311,277,266,288,231,238,244,259,405,287
A S I A,ASEAN,INDONESIA,"3,789","4,090","4,403","3,095","3,859","4,053","3,901","3,735","3,744","3,478","4,621","3,989"
A S I A,ASEAN,LAOS,60,57,114,72,93,135,61,59,78,88,148,91
A S I A,ASEAN,MALAYSIA,"8,697","11,044",,"12,059","10,142","12,478","12,376","11,353","10,552","10,466","11,240","14,958"
A S I A,ASEAN,MYANMAR,504,438,556,706,581,578,460,480,456,638,765,471
A S I A,ASEAN,SINGAPORE,"13,399","14,139",,"17,279","14,424","15,469","16,982","13,641","13,049","13,961","14,653","16,921"
A S I A,ASEAN,THAILAND,"3,593","4,089","4,717","4,422","4,014","3,690","3,124","3,218","3,088","3,811","4,634","3,543"
A S I A,ASEAN,VIETNAM,"2,321","2,847","2,805","2,249","2,266","2,833","2,645","2,470","2,038","2,227","3,005","2,094"
A S I A,EAST ASIA,CHINA,"49,538","49,479",,"37,714","31,424","30,796","27,212","41,865","40,365","26,279","19,530","20,762"
A S I A,EAST ASIA,HONGKONG,"11,587","9,573","9,262","10,529","8,430","8,089","9,564","8,743","9,086","9,535","9,690","10,012"
A S I A,EAST ASIA,JAPAN,"35,160","40,223",,"44,568","35,496","33,494","31,425","38,720","51,815","38,199","33,533","36,847"
A S I A,EAST ASIA,KOREA,"118,308","102,523",,"79,408","73,984","79,054","94,694","114,257","121,624","82,098","92,339","100,243"
A S I A,EAST ASIA,MACAU,705,650,711,752,541,583,759,674,589,665,655,826
A S I A,EAST ASIA,TAIWAN,"12,448","12,167",,"10,700","9,810","10,418","11,670","15,574","14,217","11,709","12,364","11,071"
A S I A,SOUTH ASIA,BANGLADESH,286,214,300,245,388,359,338,319,309,375,372,300
A S I A,SOUTH ASIA,INDIA,"5,472","3,751","4,972","5,025","5,305","5,456","4,872","4,737","4,988","4,689","6,885","5,000"
A S I A,SOUTH ASIA,IRAN,254,108,285,247,341,570,175,142,139,216,280,142
