region,subregion,country,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
A S I A,SOUTH ASIA,NEPAL,235,194,184,285,180,248,165,162,148,193,453,428
A S I A,SOUTH ASIA,PAKISTAN,424,294,320,316,333,358,236,288,327,342,306,275
A S I A,SOUTH ASIA,SRI LANKA,288,196,350,718,296,332,344,284,270,310,386,294
A S I A,MIDDLE EAST,BAHRAIN,294,316,320,314,321,311,408,485,299,332,310,293
A S I A,MIDDLE EAST,EGYPT,153,175,167,133,143,124,87,122,120,135,164,117
A S I A,MIDDLE EAST,JORDAN,104,57,79,62,68,75,64,43,59,53,40,53
A S I A,MIDDLE EAST,KUWAIT,488,419,344,454,419,483,441,563,358,504,402,415
A S I A,MIDDLE EAST,QATAR*,249,275,260,372,368,347,423,304,279,407,294,412
A S I A,MIDDLE EAST,SAUDI ARABIA,"3,949","2,988","3,315","2,964","3,402","3,968","2,631","6,350","4,779","3,696","3,331","2,110"
A S I A,MIDDLE EAST,UNITED ARAB EMIRATES,"1,082","1,075","1,297","1,500","1,429","1,410","1,702","1,711","1,204","1,592","1,394","1,604"
A M E R I C A,NORTH AMERICA,CANADA,"16,413","12,093",,"14,333","13,732","11,358","7,748","10,548","7,419","7,382","10,365","12,359"
A M E R I C A,NORTH AMERICA,MEXICO,236,154,264,218,189,225,293,222,228,270,242,175
A M E R I C A,NORTH AMERICA,USA,"71,042","60,936",,"67,487","67,507","60,730","61,730","60,361","43,545","43,047","55,819","54,955"
A M E R I C A,SOUTH AMERICA,ARGENTINA,143,111,105,104,107,81,65,75,90,137,145,89
A M E R I C A,SOUTH AMERICA,BRAZIL,317,222,242,218,221,199,193,212,193,210,318,381
A M E R I C A,SOUTH AMERICA,COLOMBIA,122,66,67,66,81,65,82,106,94,89,91,94
A M E R I C A,SOUTH AMERICA,PERU,37,51,31,29,28,25,18,28,38,42,33,46
A M E R I C A,SOUTH AMERICA,VENEZUELA,29,21,27,13,17,18,18,22,14,14,13,22
E U R O P E,WESTERN EUROPE,ANDORRA,383,328,331,78,42,56,50,24,11,15,32,21
E U R O P E,WESTERN EUROPE,AUSTRIA,"1,546","1,348","1,214","1,004",758,868,"1,077",679,515,740,877,"1,784"
E U R O P E,WESTERN EUROPE,BELGIUM,916,868,996,"1,159",868,"1,266","1,671",707,708,732,"1,010","1,335"
E U R O P E,WESTERN EUROPE,FRANCE,"4,257","4,223","3,753","3,723","2,788","2,404","3,429","2,671","2,022","2,374","2,983","4,319"
E U R O P E,WESTERN EUROPE,GERMANY,"7,616","7,779","8,788","6,379","4,478","3,602","4,917","5,317","4,102","4,869","6,198","8,756"
E U R O P E,WESTERN EUROPE,LUXEMBOURG,52,57,46,74,45,32,73,57,30,56,43,75
E U R O P E,WESTERN EUROPE,NETHERLANDS,"2,161","2,000","2,097","2,114","1,940","1,617","2,695","1,540","1,641","1,847","2,276","3,308"
E U R O P E,WESTERN EUROPE,SWITZERLAND,"2,723","2,425","2,405","2,784","1,732","1,302","2,266","1,102","1,301","1,824","2,153","3,531"
E U R O P E,NORTHERN EUROPE,DENMARK,"1,822","1,742","1,295","1,243",912,936,"1,233",630,676,904,"1,035","1,870"
E U R O P E,NORTHERN EUROPE,FINLAND,705,670,586,422,395,375,225,263,279,340,438,969
E U R O P E,NORTHERN EUROPE,IRELAND,929,735,973,"1,128",990,"1,558","1,142",670,703,969,800,"1,757"
E U R O P E,NORTHERN EUROPE,NORWAY,"1,882","1,759","1,506","1,630","1,121","2,675","2,450",968,"1,049","1,326","1,380","3,100"
E U R O P E,NORTHERN EUROPE,SWEDEN,"3,011","2,649","2,002","1,393",991,"1,412","1,129",717,859,"1,228","1,764","4,706"
E U R O P E,NORTHERN EUROPE,UNITED KINGDOM,"11,098","12,223",,"13,138","13,746","10,100","8,288","12,655","9,358","7,864","9,029","9,798"
E U R O P E,SOUTHERN EUROPE,GREECE,173,189,196,114,179,142,150,136,134,179,253,218
E U R O P E,SOUTHERN EUROPE,ITALY,"2,377","1,827","1,884","1,528","1,280","1,258","1,458","1,611","1,150","1,217","1,615","2,660"
E U R O P E,SOUTHERN EUROPE,PORTUGAL,157,166,192,243,119,93,107,163,111,99,174,175
E U R O P E,SOUTHERN EUROPE,SPAIN,"1,612","1,273","1,653","1,445","1,285","1,387","1,827","2,137","1,192","1,566","1,786","2,190"
E U R O P E,EASTERN EUROPE,INDEPENDENT STATES,811,510,554,518,478,424,516,508,445,547,680,898
E U R O P E,EASTERN EUROPE,RUSSIAN FEDERATION,"5,463","3,679","3,557","2,167","1,654","1,199","1,273","1,262","1,352","2,511","3,519","4,451"
E U R O P E,EASTERN EUROPE,TOTAL (CIS & RUSSIA),"6,274","4,189","4,111","2,685","2,132","1,623","1,789","1,770","1,797","3,058","4,199","5,349"
E U R O P E,EASTERN EUROPE,POLAND,769,931,620,414,330,293,301,257,324,373,721,578
E U R O P E,EASTERN EUROPE,SUB-TOTAL,"7,043","5,120","4,731","3,099","2,462","1,916","2,090","2,027","2,121","3,431","4,920","5,927"
E U R O P E,EASTERN MEDITERRANEAN EUROPE**,ISRAEL,747,877,878,791,585,417,485,494,838,795,913,956
E U R O P E,EASTERN MEDITERRANEAN EUROPE**,TURKEY,406,366,301,300,284,421,370,301,293,433,523,303
E U R O P E,EASTERN MEDITERRANEAN EUROPE**,SUB-TOTAL,"1,153","1,243","1,179","1,091",869,838,855,795,"1,131","1,228","1,436","1,259"
E U R O P E,EASTERN MEDITERRANEAN EUROPE**,Country of Residence,,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014,2014
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,AUSTRALIA,,"20,747","17,262","21,464","20,629","16,553","15,032","15,058","13,378","16,666","17,165","18,773"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,GUAM,,"3,159","3,059","3,312","2,850","2,854","4,563","3,855","2,664","2,333","2,688","3,372"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,NAURU,,,1,1,5,-,-,1,2,2,8,4
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,NEW ZEALAND,,"1,425","1,036","1,375","1,684","1,467","1,365","1,280","1,207","1,276","1,277","1,495"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,PAPUA NEW GUINEA,,571,448,469,474,716,598,496,499,484,621,513
A F R I C A,A F R I C A,NIGERIA,,487,101,116,96,119,143,101,111,74,112,130
A F R I C A,A F R I C A,SOUTH AFRICA,,298,325,333,311,253,258,266,249,236,259,261
OTHERS & UNSPECIFIED,OTHERS & UNSPECIFIED,RESIDENCES,,"4,600","4,353","4,058","3,565","3,113","3,074","3,137","2,896","2,816","3,411","4,254"
T O T A L,T O T A L,T O T A L,,"445,593","411,218","400,466","366,428","346,804","356,831","406,027","391,511","318,672","344,357","378,190"
