"month","region","subregion","country","ctry_cntr_long","ctry_cntr_lat","y2014","y2015","y2016","y2017","y2018"
"february","Africa","Africa","Nigeria",-152.464510556622,9.04612284069098,487,91,163,155,171
"february","Africa","Africa","South Africa",-132.876814159292,-28.5941592920354,298,340,435,587,703
"february","America","North America","Canada",112.832333696838,48.1319847328244,12093,13146,15665,19016,19278
"february","America","North America","Mexico",100.133599574015,20.7982747603834,154,235,223,309,261
"february","America","North America","USA",104.870802407222,37.4450351053159,60936,65330,71290,80463,84835
"february","America","South America","Argentina",137.710731707317,-33.5251219512195,111,181,338,380,513
"february","America","South America","Brazil",153.832635897436,-17.5192102564103,222,337,422,592,709
"february","America","South America","Colombia",125.168682877406,5.70347517730496,66,94,81,104,154
"february","America","South America","Peru",123.582095588235,-9.93136029411765,51,39,40,55,82
"february","America","South America","Venezuela",131.974711538462,9.79432692307692,21,19,24,28,18
"february","Asia","ASEAN","Brunei",-45.374,4.73,758,709,761,544,953
"february","Asia","ASEAN","Cambodia",-55.1844,12.2416,216,233,261,374,278
"february","Asia","ASEAN","Indonesia",-49.7179831932773,-5.32147058823529,4090,3615,4234,4517,5756
"february","Asia","ASEAN","Laos",-55.9455555555555,18.0761111111111,57,97,114,107,70
"february","Asia","ASEAN","Malaysia",-56.2003067484662,3.87441717791411,11044,11188,12922,11335,12322
"february","Asia","ASEAN","Myanmar",-63.8993939393939,18.9172727272727,438,579,437,620,662
"february","Asia","ASEAN","Singapore",-56.15,1.3,14139,14279,14972,13309,14490
"february","Asia","ASEAN","Thailand",-58.8763822525597,14.4172354948805,4089,3759,3744,3638,4732
"february","Asia","ASEAN","Vietnam",-53.5057352941176,16.3188235294118,2847,2811,3053,3536,4357
"february","Asia","East Asia","China",-44.1156278026906,34.0535201793722,49479,41812,82208,78251,146536
"february","Asia","East Asia","Hongkong",NA,NA,9573,13171,12643,8170,13642
"february","Asia","East Asia","Japan",-23.1284684684684,35.605975975976,40223,45299,50840,53957,60262
"february","Asia","East Asia","Korea",-32.3073484848485,36.3019696969697,102523,121218,137598,150685,156555
"february","Asia","East Asia","Macau",NA,NA,650,793,942,705,882
"february","Asia","East Asia","Taiwan",-39.2136734693877,24.0868367346939,12167,15198,19821,20472,21908
"february","Asia","Middle East","Bahrain",-109.447272727273,26.1736363636364,316,225,292,298,253
"february","Asia","Middle East","Egypt",-128.630588235294,29.4472549019608,175,142,130,135,141
"february","Asia","Middle East","Jordan",-124.15642384106,32.0415894039735,57,58,51,54,57
"february","Asia","Middle East","Kuwait",-112.027714285714,29.2714285714286,419,409,411,559,521
"february","Asia","Middle East","Oman",-102.48380952381,22.9366666666667,NA,NA,NA,NA,231
"february","Asia","Middle East","Qatar",-108.735555555556,25.3366666666667,275,313,346,346,396
"february","Asia","Middle East","Saudi Arabia",-115.712795698925,23.777311827957,2988,3798,3587,4051,3609
"february","Asia","Middle East","United Arab Emirates",-104.391111111111,25.18,1075,1170,1283,1130,1369
"february","Asia","South Asia","Bangladesh",-69.7788111888112,23.7406293706294,214,268,345,332,434
"february","Asia","South Asia","India",-80.6390758047767,21.5019210799585,3751,5244,6224,7621,9285
"february","Asia","South Asia","Iran",-108.556127819549,33.8924812030075,108,140,151,131,169
"february","Asia","South Asia","Nepal",-75.3217307692308,27.6073076923077,194,305,188,247,758
"february","Asia","South Asia","Pakistan",-89.0981339712919,29.9402631578947,294,338,251,368,336
"february","Asia","South Asia","Sri Lanka",-79.6352112676057,7.26901408450704,196,391,406,433,467
"february","Australasia & The Pacific","Australasia & The Pacific","Australia",-15.7823004694836,-30.319014084507,20747,23281,25274,27826,30924
"february","Australasia & The Pacific","Australasia & The Pacific","Guam",-15.2292592592593,13.4496296296296,3159,2490,2485,2608,2901
"february","Australasia & The Pacific","Australasia & The Pacific","Nauru",6.90999999999997,-0.55,0,0,2,1,1
"february","Australasia & The Pacific","Australasia & The Pacific","New Zealand",13.6360507246377,-40.5059420289855,1425,1582,2011,2705,3549
"february","Australasia & The Pacific","Australasia & The Pacific","Papua New Guinea",-13.0243902439024,-6.12756097560976,571,574,568,890,814
"february","Europe","Eastern Europe","Commonwealth Of Independent States",NA,NA,510,870,1120,935,1129
"february","Europe","Eastern Europe","Poland",-141.010615034169,51.843735763098,931,967,1323,1682,1564
"february","Europe","Eastern Europe","Russian Federation",-104.664588832487,53.6329137055838,3679,2478,3050,4522,3519
"february","Europe","Eastern Mediterranean Europe","Israel",-124.919067357513,32.3195336787565,877,1256,1678,1919,2065
"february","Europe","Eastern Mediterranean Europe","Turkey",-125.645423514539,39.2837547408344,366,509,994,798,911
"february","Europe","Northern Europe","Denmark",-149.482451612903,55.8588709677419,1742,1830,2286,2764,2095
"february","Europe","Northern Europe","Finland",-135.20176744186,62.2486046511628,670,733,729,922,771
"february","Europe","Northern Europe","Ireland",-167.659333333333,53.1170909090909,735,849,944,1147,1209
"february","Europe","Northern Europe","Norway",-149.670952380952,62.0989355742297,1759,1787,1912,1930,2055
"february","Europe","Northern Europe","Sweden",-144.479326923077,58.9549038461538,2649,2871,3504,3786,3620
"february","Europe","Northern Europe","United Kingdom",-161.96267027027,52.9356972972973,12223,11374,13166,15226,15443
"february","Europe","Southern Europe","Greece",-136.79204,38.98216,189,231,252,275,336
"february","Europe","Southern Europe","Italy",-147.610994923858,42.7972182741117,1827,2172,2480,3150,3101
"february","Europe","Southern Europe","Portugal",-168.546278538813,39.9041552511416,166,210,424,325,411
"february","Europe","Southern Europe","Spain",-162.8159375,40.0899421296296,1273,1764,2259,2876,3206
"february","Europe","Western Europe","Andorra",-158.461428571429,42.5342857142857,328,41,23,16,25
"february","Europe","Western Europe","Austria",-145.891361702128,47.6804680851064,1348,1310,1349,1631,1435
"february","Europe","Western Europe","Belgium",-155.426974637681,50.7387862318841,868,1031,1266,1173,1353
