"date","region","subregion","passenger_count","ctry_cntr_long","ctry_cntr_lat"
2018-01-01,"Asia","Korea",198145,-32.3073484848485,36.3019696969697
2018-02-01,"Asia","Korea",156555,-32.3073484848485,36.3019696969697
2017-01-01,"Asia","Korea",154367,-32.3073484848485,36.3019696969697
2017-02-01,"Asia","Korea",150685,-32.3073484848485,36.3019696969697
2016-08-01,"Asia","Korea",147588,-32.3073484848485,36.3019696969697
2016-01-01,"Asia","Korea",147165,-32.3073484848485,36.3019696969697
2018-02-01,"Asia","China",146536,-44.1156278026906,34.0535201793722
2016-12-01,"Asia","Korea",143380,-32.3073484848485,36.3019696969697
2016-07-01,"Asia","Korea",142793,-32.3073484848485,36.3019696969697
2017-08-01,"Asia","Korea",141869,-32.3073484848485,36.3019696969697
2015-09-01,"Asia","Korea",139472,-32.3073484848485,36.3019696969697
2017-10-01,"Asia","Korea",139218,-32.3073484848485,36.3019696969697
2016-02-01,"Asia","Korea",137598,-32.3073484848485,36.3019696969697
2017-03-01,"Asia","Korea",135813,-32.3073484848485,36.3019696969697
2017-07-01,"Asia","Korea",132135,-32.3073484848485,36.3019696969697
2018-09-01,"Asia","Korea",129734,-32.3073484848485,36.3019696969697
2017-05-01,"Asia","Korea",128691,-32.3073484848485,36.3019696969697
2018-12-01,"Asia","Korea",127935,-32.3073484848485,36.3019696969697
2016-11-01,"Asia","Korea",127547,-32.3073484848485,36.3019696969697
2018-08-01,"Asia","Korea",127190,-32.3073484848485,36.3019696969697
2018-10-01,"Asia","Korea",125236,-32.3073484848485,36.3019696969697
2017-09-01,"Asia","Korea",123834,-32.3073484848485,36.3019696969697
2018-11-01,"Asia","Korea",122390,-32.3073484848485,36.3019696969697
2018-04-01,"Asia","Korea",122387,-32.3073484848485,36.3019696969697
2014-09-01,"Asia","Korea",121624,-32.3073484848485,36.3019696969697
2015-02-01,"Asia","Korea",121218,-32.3073484848485,36.3019696969697
2018-08-01,"Asia","China",119990,-44.1156278026906,34.0535201793722
2015-08-01,"Asia","Korea",119292,-32.3073484848485,36.3019696969697
2014-01-01,"Asia","Korea",118308,-32.3073484848485,36.3019696969697
2017-04-01,"Asia","Korea",117074,-32.3073484848485,36.3019696969697
2016-09-01,"Asia","Korea",115147,-32.3073484848485,36.3019696969697
2018-05-01,"Asia","Korea",114973,-32.3073484848485,36.3019696969697
2018-04-01,"Asia","China",114549,-44.1156278026906,34.0535201793722
2014-08-01,"Asia","Korea",114257,-32.3073484848485,36.3019696969697
2018-06-01,"Asia","Korea",113488,-32.3073484848485,36.3019696969697
2016-10-01,"Asia","Korea",112508,-32.3073484848485,36.3019696969697
2018-07-01,"Asia","Korea",111640,-32.3073484848485,36.3019696969697
2018-01-01,"Asia","China",111344,-44.1156278026906,34.0535201793722
2018-05-01,"Asia","China",109789,-44.1156278026906,34.0535201793722
2016-06-01,"Asia","Korea",109786,-32.3073484848485,36.3019696969697
2018-01-01,"America","USA",109154,104.870802407222,37.4450351053159
2017-06-01,"Asia","Korea",108455,-32.3073484848485,36.3019696969697
2018-09-01,"Asia","China",106789,-44.1156278026906,34.0535201793722
2015-12-01,"Asia","Korea",105330,-32.3073484848485,36.3019696969697
2018-12-01,"America","USA",104597,104.870802407222,37.4450351053159
2014-02-01,"Asia","Korea",102523,-32.3073484848485,36.3019696969697
2018-10-01,"Asia","China",102374,-44.1156278026906,34.0535201793722
2015-11-01,"Asia","Korea",102057,-32.3073484848485,36.3019696969697
2014-12-01,"Asia","Korea",100243,-32.3073484848485,36.3019696969697
2017-01-01,"America","USA",99435,104.870802407222,37.4450351053159
2016-03-01,"Asia","Korea",98781,-32.3073484848485,36.3019696969697
2016-04-01,"Asia","Korea",98052,-32.3073484848485,36.3019696969697
2016-12-01,"America","USA",97614,104.870802407222,37.4450351053159
2018-12-01,"Asia","China",97513,-44.1156278026906,34.0535201793722
2015-07-01,"Asia","Korea",96954,-32.3073484848485,36.3019696969697
2017-08-01,"Asia","China",95687,-44.1156278026906,34.0535201793722
2015-10-01,"Asia","Korea",95386,-32.3073484848485,36.3019696969697
2016-05-01,"Asia","Korea",94736,-32.3073484848485,36.3019696969697
2014-07-01,"Asia","Korea",94694,-32.3073484848485,36.3019696969697
2018-06-01,"America","USA",94567,104.870802407222,37.4450351053159
2015-06-01,"Asia","Korea",94086,-32.3073484848485,36.3019696969697
2015-03-01,"Asia","Korea",93099,-32.3073484848485,36.3019696969697
2018-05-01,"America","USA",92754,104.870802407222,37.4450351053159
2014-11-01,"Asia","Korea",92339,-32.3073484848485,36.3019696969697
2018-07-01,"America","USA",91684,104.870802407222,37.4450351053159
2017-07-01,"Asia","China",90763,-44.1156278026906,34.0535201793722
2015-05-01,"Asia","Korea",90465,-32.3073484848485,36.3019696969697
2017-10-01,"Asia","China",89932,-44.1156278026906,34.0535201793722
2017-04-01,"America","USA",87614,104.870802407222,37.4450351053159
2018-11-01,"Asia","China",87243,-44.1156278026906,34.0535201793722
2017-07-01,"America","USA",86017,104.870802407222,37.4450351053159
2017-01-01,"Asia","China",85948,-44.1156278026906,34.0535201793722
2018-07-01,"Asia","China",85800,-44.1156278026906,34.0535201793722
2018-04-01,"America","USA",85573,104.870802407222,37.4450351053159
2018-02-01,"America","USA",84835,104.870802407222,37.4450351053159
2017-06-01,"America","USA",84676,104.870802407222,37.4450351053159
2016-01-01,"America","USA",84506,104.870802407222,37.4450351053159
2017-05-01,"America","USA",83056,104.870802407222,37.4450351053159
2016-02-01,"Asia","China",82208,-44.1156278026906,34.0535201793722
