province,foreign,ofw,domestic,total
Sudipen,296 ,,3709 ,4005 
Tubao,,,,
Pangasinan,14155 ,,744873 ,759028 
Alaminos,2279 ,,24857 ,27136 
Anda,775 ,,30599 ,31374 
Bolinao,2652 ,,180816 ,183468 
Bugallion,19 ,,10213 ,10232 
Dagupan City,289 ,,101114 ,101403 
Dasol,,,,
Labrador,724 ,,17729 ,18453 
Lingayen,5144 ,,181472 ,186616 
San Fabian,32 ,,110720 ,110752 
Urdaneta City,2198 ,,83585 ,85783 
Villasis,43 ,,3768 ,3811 
Region 0 (CAGAYAN VALLEY),293018 ,236 ,710698 ,1003952 
Batanes,1492 ,,29352 ,30844 
Cagayan,285773 ,176 ,224669 ,510618 
Tuguegarao City,4474 ,68 ,124413 ,128955 
Others,281299 ,108 ,100256 ,381663 
Isabela,4609 ,8 ,318663 ,323280 
Cauayan City,1549 ,,96825 ,98374 
Ilagan City,549 ,,25076 ,25625 
Santiago City,2042 ,8 ,165303 ,167353 
Others,469 ,,31459 ,31928 
Nueva Vizcaya,1081 ,52 ,129102 ,130235 
Quirino,63 ,,8912 ,8975 
Region III (CENTRAL LUZON),367307 ,21906 ,3513824 ,3903037 
Aurora,95 ,20 ,166223 ,166338 
Bataan,27127 ,,453790 ,480917 
Bulacan,4451 ,,284383 ,288834 
Nueva Ecija,1848 ,,78657 ,80505 
Pampanga,104889 ,18847 ,182150 ,305886 
Clark,171463 ,2116 ,325074 ,498653 
Tarlac City,2830 ,2 ,8906 ,11738 
Zambales,21891 ,,361796 ,383687 
SBMA,32713 ,921 ,1652845 ,1686479 
Angeles City,,,,
Olongapo City,,,,
Region IV-A CALABARZON,282897 ,690 ,4848156 ,5131743 
Batangas,59612 ,334 ,1448737 ,1508683 
Alitagtag,,,9419 ,9419 
Balayan,630 ,,74896 ,75526 
Batangas City,5609 ,,140989 ,146598 
Balete,,,15772 ,15772 
Bauan,87 ,,252 ,339 
Calatagan,3027 ,,54313 ,57340 
Cuenca,,,14336 ,14336 
Laurel,,,,
Lemery,137 ,,2059 ,2196 
Lian,,,138741 ,138741 
Lips City,12431 ,,37660 ,50091 
Lobo,29 ,,10461 ,10490 
Mabini,,,150766 ,150766 
Malvar,1594 ,,15605 ,17199 
