province,foreign,ofw,domestic,total
Sagay,165 ,,21512 ,21677 
San Carlos,263 ,260 ,53017 ,53540 
San Enrique,,,,
Silay,38 ,,14049 ,14087 
Sipalay,26583 ,,94768 ,121351 
Talisay,1023 ,,44795 ,45818 
Victorias,34 ,,3840 ,3874 
Bacolod City,75583 ,,756104 ,831687 
Iloilo City,28504 ,1066 ,1047406 ,1076976 
Region VII (CENTRAL VISAYAS),2881801 ,24225 ,4068648 ,6974674 
Bohol,443477 ,730 ,686858 ,1131085 
Anda,5636 ,63 ,22794 ,28493 
Antequera,,,,
Baclayon,699 ,,14577 ,15276 
Batuan,96 ,,1008 ,1104 
Bien Unido,,,,
Bilar,438 ,,6355 ,6793 
Buenavista,37 ,,819 ,856 
Calape,,,,
Candijay,4 ,,132 ,136 
Carmen,263 ,,860 ,1123 
Catigbian,,,,
Danao,342 ,,460 ,802 
Dauis,17668 ,,27763 ,45431 
Dimiao,,,,
Garcia Hernandez,266 ,,10552 ,10818 
Getafe,,,385 ,385 
Guindulman,618 ,46 ,6042 ,6706 
Inabanga,,,403 ,403 
Jagna,606 ,,12693 ,13299 
Lila,26 ,,5 ,31 
Loay,335 ,,127 ,462 
Loon,1276 ,,421 ,1697 
Loboc,3241 ,,630 ,3671 
Maribojoc,3 ,,165 ,168 
Panglao,379906 ,,321745 ,701651 
Sagbayan,,,,
San Isidro,42 ,,,42 
Sikatuna,,,,
Tagbilaran,30028 ,621 ,204530 ,235179 
Talibon,943 ,,17772 ,18715 
Tubigon,445 ,,12366 ,12811 
Ubay,33 ,,20546 ,20579 
Valencia,526 ,,3708 ,4234 
Cebu,251630 ,2230 ,467369 ,721229 
Alcoy,1355 ,,3618 ,4973 
Alcantara,,,,
Alegria,749 ,,11496 ,12245 
Aloquinsan,67 ,,1517 ,1584 
Argao,643 ,,12688 ,13331 
Asturias,666 ,,3176 ,3844 
Badian,,,,
Balamban,364 ,,5600 ,5964 
Bantayan,941 ,,5928 ,6869 
Barili,1108 ,,7379 ,8487 
Bogo City,11260 ,,42542 ,53802 
