province,foreign,ofw,domestic,total
Pola,31,,2095,2126
Puerto Galera,46879,20,52953,99852
Roxas,97,,16243,16340
San Teodoro,108,,2715,2823
Socorro,,,3270,3270
Victoria,,,6160,6160
Palawan,179987,848,234029,414864
Abadan,498,,2027,2525
Araceli,,,,
Bataraza,770,604,15336,16710
Busuanga,11298,,2852,14150
Brookes Point,367,,18111,18478
Cagayancillo,,,,
Coron,71579,244,101747,173570
Cuyo,,,,
Callon,349,,946,1295
El Nido,62868,,30756,93624
Espanola,72,,1068,1140
Linapacan,5342,,302,5644
Narra,595,,26686,27281
Quezon,,,,
Rizal,685,,3118,3803
Roxas,614,,16535,17149
San Vicente,21643,,4377,26020
Taytay,3307,,10168,13475
Romblon,7347,2780,53009,63136
Alcantara,149,,2080,2229
Ferrol,461,,,461
Looc,,,,
Magdiwang,357,,2400,2757
Odiongan,1485,,17835,19320
Romblon,4034,2780,27875,34689
San Agustin,,,,
San Fernando,11,,172,183
San Jose,850,,1521,2371
Santa Maria,,,1126,1126
Puerto Princess City,341974,20963,658703,1021640
Region V (BICOL REGION),1165759,20148,4853990,6039897
Albay,478357,221,1298313,1776891
Legazpi City,467266,,808135,1275401
Others,11091,221,490178,501490
Camarines Norte,42993,19927,455935,518855
Daet,,,,
Others,42993,19927,455935,518855
Camarines Sur,599851,,2344701,2944552
Iriga City,19511,,38367,57878
Naga City,278624,,1092093,1370717
Others,301716,,1214241,1515957
Catanduanes,7407,,215216,222623
Masbate Province,706,,96530,97236
Masbate City,7072,,240010,247082
Sorsogon Province,4352,,58872,63224
Sorsogon City,25021,,144413,169434
