region,subregion,country,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
A S I A,ASEAN,BRUNEI,702,953,"1,096",650,771,946,659,533,781,636,793,
A S I A,ASEAN,CAMBODIA,306,278,314,384,461,299,329,283,353,463,443,241
A S I A,ASEAN,INDONESIA,"6,464","5,756","7,773",,"6,466","6,093","8,451","5,505","5,317","6,186","6,642","6,553"
A S I A,ASEAN,LAOS,64,70,103,118,109,101,98,53,85,103,167,112
A S I A,ASEAN,MALAYSIA,"12,012","12,322","12,756","11,771","12,179","12,623","11,036","11,578","13,211","11,491","12,649","11,618"
A S I A,ASEAN,MYANMAR,650,662,920,890,905,776,717,714,698,860,883,955
A S I A,ASEAN,SINGAPORE,"13,627","14,490","16,281","15,493","15,971","15,874","13,145","12,612","13,182","13,427","13,910","13,784"
A S I A,ASEAN,THAILAND,"4,359","4,732","4,985",,"7,126","6,339","4,612","4,975","4,199","4,304","4,816","5,032"
A S I A,ASEAN,VIETNAM,"3,147","4,357","4,298",,"4,927","5,173","5,473","4,642","3,871","4,145","4,113","4,405"
A S I A,EAST ASIA,CHINA,"111,344","146,536",,"114,549","109,789","78,071","85,800","119,990","106,789","102,374","87,243","97,513"
A S I A,EAST ASIA,HONGKONG,"9,284","13,642","13,857","10,324","10,308","12,546","9,533","7,457","7,411","8,591","7,093",
A S I A,EAST ASIA,JAPAN,"57,038","60,262","63,878","49,021","45,744","40,119","50,591","65,136","53,342","45,108","47,776","53,806"
A S I A,EAST ASIA,KOREA,"198,145","156,555",,"122,387","114,973","113,488","111,640","127,190","129,734","125,236","122,390","127,935"
A S I A,EAST ASIA,MACAU,796,882,"1,000",768,869,899,816,643,544,730,625,764
A S I A,EAST ASIA,TAIWAN,"18,948","21,908","19,021","22,950","18,545","19,168","23,151","21,004","22,152","19,498","16,589","19,477"
A S I A,SOUTH ASIA,BANGLADESH,463,434,387,403,435,441,432,454,578,531,573,364
