region,subregion,country,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
A S I A,SOUTH ASIA,INDIA,"13,779","9,285","9,935","10,021","10,569","9,500","10,950","9,576","8,974","9,033","11,297",
A S I A,SOUTH ASIA,IRAN,216,169,470,146,207,189,151,153,157,195,194,209
A S I A,SOUTH ASIA,NEPAL,864,758,"1,634",895,938,701,380,342,476,322,328,
A S I A,SOUTH ASIA,PAKISTAN,396,336,342,387,344,393,523,437,520,491,524,306
A S I A,SOUTH ASIA,SRI LANKA,456,467,434,530,528,620,659,581,659,516,553,443
A S I A,MIDDLE EAST,BAHRAIN,312,253,370,306,221,372,486,325,237,258,283,215
A S I A,MIDDLE EAST,EGYPT,175,141,188,153,131,150,233,204,188,203,202,187
A S I A,MIDDLE EAST,JORDAN,79,57,54,76,55,,68,149,122,84,114,149
A S I A,MIDDLE EAST,KUWAIT,695,521,526,561,372,670,712,639,375,502,507,368
A S I A,MIDDLE EAST,OMAN****,262,231,201,267,115,258,340,227,239,200,253,142
A S I A,MIDDLE EAST,QATAR*,435,396,458,399,247,417,308,324,188,209,180,220
A S I A,MIDDLE EAST,SAUDI ARABIA,"4,532","3,609","3,745",,"3,763","1,832","5,830","6,499","4,851","3,211","3,452","3,548"
A S I A,MIDDLE EAST,UNITED ARAB EMIRATES,"1,282","1,369","2,200",,"1,440","1,288","1,338","1,726","1,208",680,790,995
A M E R I C A,NORTH AMERICA,CANADA,"28,913","19,278","22,310","19,148","19,484","11,965","17,369","12,848","11,351","15,477","18,637","29,666"
A M E R I C A,NORTH AMERICA,MEXICO,318,261,403,359,380,309,400,360,363,362,431,302
A M E R I C A,NORTH AMERICA,USA,"109,154","84,835","90,961","85,573","92,754","94,567","91,684","65,567","59,600","76,090","79,089","104,597"
A M E R I C A,SOUTH AMERICA,ARGENTINA,586,513,457,422,294,177,173,145,150,161,182,208
A M E R I C A,SOUTH AMERICA,BRAZIL,776,709,701,723,539,420,456,469,476,477,601,
A M E R I C A,SOUTH AMERICA,COLOMBIA,152,154,167,185,187,161,221,238,228,242,224,230
A M E R I C A,SOUTH AMERICA,PERU,82,82,104,84,59,,58,69,107,87,112,87
A M E R I C A,SOUTH AMERICA,VENEZUELA,37,18,36,33,24,,25,35,26,34,61,50
E U R O P E,WESTERN EUROPE,ANDORRA,38,25,35,30,44,,50,47,2,-,2,- 
E U R O P E,WESTERN EUROPE,AUSTRIA,"1,742","1,435","1,204",,"1,151",924,750,"1,446",899,761,891,"1,069"
E U R O P E,WESTERN EUROPE,BELGIUM,"1,493","1,353","1,575",,"1,554","1,223","1,474","2,241","1,098",953,"1,181","1,393"
E U R O P E,WESTERN EUROPE,FRANCE,"8,438","9,737","8,489",,"8,628","5,561","3,339","5,253","4,556","3,397","4,580","5,641"
E U R O P E,WESTERN EUROPE,GERMANY,"8,822","9,826","10,161",,"7,551","6,532","4,828","6,413","6,127","5,484","6,733","7,888"
E U R O P E,WESTERN EUROPE,LUXEMBOURG,84,81,98,95,72,,51,90,97,34,47,63
E U R O P E,WESTERN EUROPE,NETHERLANDS,"3,434","2,860","3,136",,"3,405","2,945","2,195","3,922","2,426","2,018","2,730","3,536"
E U R O P E,WESTERN EUROPE,SWITZERLAND,"3,397","3,298","3,404",,"3,311","2,220","1,386","2,662","1,366","1,609","2,048","2,395"
E U R O P E,NORTHERN EUROPE,DENMARK,"2,141","2,095","2,021",,"1,429","1,244","1,023","1,517",845,965,"1,146","1,281"
E U R O P E,NORTHERN EUROPE,FINLAND,998,771,660,532,445,444,320,288,383,535,693,
E U R O P E,NORTHERN EUROPE,IRELAND,"1,614","1,209","1,873",,"1,452","1,574","2,324","2,273","1,378","1,144","1,332","1,393"
E U R O P E,NORTHERN EUROPE,NORWAY,"2,389","2,055","2,166",,"1,460","1,299","2,834","3,178","1,157","1,134","1,328","1,552"
E U R O P E,NORTHERN EUROPE,SWEDEN,"3,985","3,620","3,111",,"1,901","1,483","1,952","1,494",926,"1,051","1,528","1,892"
E U R O P E,NORTHERN EUROPE,UNITED KINGDOM,"18,111","15,443","22,967","17,913","15,348","12,661","18,847","15,376","11,637","14,714","16,247","21,780"
E U R O P E,SOUTHERN EUROPE,GREECE,304,336,324,234,296,239,198,223,238,272,424,365
E U R O P E,SOUTHERN EUROPE,ITALY,"4,174","3,101","3,098",,"2,910","2,055","2,065","2,861","3,316","2,007","2,220","3,043"
E U R O P E,SOUTHERN EUROPE,PORTUGAL,459,411,456,541,462,235,309,396,354,475,777,674
E U R O P E,SOUTHERN EUROPE,SPAIN,"3,999","3,206","4,204",,"3,012","2,708","2,504","4,527","5,502","2,650","3,415","4,180"
E U R O P E,EASTERN EUROPE,COMMONWEALTH OF INDEPENDENT STATES,"1,375","1,129","1,462",857,938,757,595,644,764,745,990,
E U R O P E,EASTERN EUROPE,RUSSIAN FEDERATION,"4,396","3,519","3,426",,"2,614","1,655","1,171","1,269","1,251","1,420","2,011","3,328"
E U R O P E,EASTERN EUROPE,POLAND,"2,078","1,564","1,274",,"1,100",683,464,572,471,655,835,"1,585"
E U R O P E,EASTERN MEDITERRANEAN EUROPE**,ISRAEL,"2,360","2,065","2,412",,"1,829","1,328",869,"1,405","1,340","1,899","1,137","1,703"
E U R O P E,EASTERN MEDITERRANEAN EUROPE**,TURKEY,"1,396",911,798,720,592,539,522,666,488,540,784,659
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,AUSTRALIA,,"30,924","19,480","23,623","25,292","21,279","19,663","20,817","17,578","20,551","21,167","22,460"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,GUAM,,"2,901","2,509","3,190","2,691","3,286","4,040","3,528","1,775","1,728","2,088","2,164"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,NAURU,,1,-,-,13,2,2,1,5,2,7,2
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,NEW ZEALAND,,"3,549","1,904","2,503","2,828","2,596","2,544","2,720","2,333","2,335","2,487","2,779"
AUSTRALASIA/PACIFIC,AUSTRALASIA/PACIFIC,PAPUA NEW GUINEA,,814,427,594,698,665,857,671,613,730,802,802
A F R I C A,A F R I C A,NIGERIA,,171,136,188,141,348,204,165,125,138,187,168
A F R I C A,A F R I C A,SOUTH AFRICA,,703,640,674,655,477,605,542,432,498,527,560
OTHERS & UNSPECIFIED,OTHERS & UNSPECIFIED,RESIDENCES,,"7,446","7,213","7,058","5,925","4,862","4,740","5,375","4,448","4,288","5,301","7,423"
T O T A L,T O T A L,T O T A L,,"724,586","669,640","635,485","583,996","531,175","524,765","602,112","546,785","514,174","518,920","559,468"
