province,foreign,ofw,domestic,total
San Antonio,,,4506,4506
San Francisco,,,,
Sariaya,497,,92402,92899
Tagkawayan,,,14662,14662
Tayabas,,,42361,42361
Tiaong,483,260,23489,24232
Unisan,,,627,627
Rizal,4548,0,779859,784407
Antipolo City,2427,,209834,212261
Angono,,,,
Baras,,,,
Binangonan,,,12346,12346
Cainta,,,1484,1484
Cordona,,,,
Jalajala,,,,
Morong,,,,
Pililia,,,4840,4840
Rodriguez,,,177915,177915
San Mateo,,,,
Tanay,2121,,302864,304985
Taytay,,,70576,70576
Teresa,,,,
Region IV-B MIMAROPA,591108,24921,1370083,1986112
Marinduque,262,,55307,55569
Boac,146,,36357,36503
Buenavista,27,,501,528
Gasan,37,,2566,2603
Mogpog,15,,2929,2944
Sta. Cruz,7,,10833,10840
Torrijos,30,,2121,2151
Occidental Mindoro,6460,310,139449,146219
Abrade Hog,1313,,4947,6260
Calintaan,198,,6950,7148
Looc,,,216,216
Lubang,124,310,8095,8529
Magsaysay,156,,4163,4319
Mamburao,257,,21351,21608
Paluan,,,,
Rizal (Occidental Mindoro),,,52,52
Sablayan,2998,,25865,28863
San Jose,608,,62924,63532
Santa Cruz,806,,4886,5692
Others,,,,
Oriental Mindoro,55078,20,229586,284684
Baco,,,1102,1102
Bansud,,,4355,4355
Bongabong,12,,5879,5891
Bulalacao,608,,10581,11189
Calapan City,6972,,94718,101690
Gloria,,,2319,2319
Mansalay,169,,1598,1767
Naujan,,,9182,9182
Pinamalayan,202,,16416,16618
