province,foreign,ofw,domestic,total
Catbalogan,,,95147,95147
Bossy,,,,
Marabut,212,,833,1045
Paranas,,,,
Southern Leyte,6590,,134444,141034
Hinunangan,,,11320,11320
Hinundayan,46,,2072,2118
Liloan,109,,4221,4330
Limasawa,,,7290,7290
Maasin City,1809,,70795,72604
Macrohon,695,,9222,9917
Padre Burgos,256,,1038,1294
Pintuyan,139,,66,205
Saint Bernard,,,1132,1132
Sogod,3527,,26360,29887
Others,9,,928,937
Tacloban City,24308,1704,506792,532804
Region IX (ZAMBOANGA PENINSULA),10851,22004,684746,717601
Zamboanga del Norte,3455,,234525,237980
Dapitan City,196,,47193,47389
Dipolog City,3195,,182824,186019
Others,64,,4508,4572
Zamboanga del Sur,154,,11201,11355
Pagadian City,154,,11201,11355
Zamboanga Sibugay,3,,25174,25177
Isabela City,,,,
Zamboanga City,7239,22004,413846,443089
Region X (NORTHERN MINDANAO),73316,6261,2977433,3057010
Bukldnon,1672,,321812,323484
Malaybalay City,742,,52003,52745
Valencia City,492,,181264,181756
Others,438,,88545,88983
Camiguin,8809,,559840,568649
Lanao del Norte,207,,35610,35817
lligan City,1532,305,242873,244710
Misamis Occidental,5213,,1075848,1081061
Ozamis City,4015,,687193,691208
Tangub City,83,,18856,18939
Oroquieta City,352,,119352,119704
Others,763,,250447,251210
Misamis Oriental,2599,,116597,119196
Gingoog City,221,,106882,107103
Others,2378,,9715,12093
Cagayan de Om City,53284,5956,624853,684093
Region XI (DAVAO REGION),148106,48020,3042801,3238929
Compostela Valley,713,,102025,102738
Davao del Norte,13896,,853765,867661
Asuncion,,,,
Island Garden City of Samal,,,,
Kapalong,,,,
New Corella,,,,
Panabo City,,,,
Tagum City,,,,
Others,13896,,853765,867661
