province,foreign,ofw,domestic,total
NCR (National Capital Region),286858,789,338521,626168
Caloocan City,-,-,-,-
Las Piñas City,-,-,-,-
Makati City,-,-,-,-
Malabon City,-,-,-,-
Mandaluyong City,-,-,-,-
Manila,-,-,-,-
Marikina City,-,-,-,-
Muntinlupa City,-,-,-,-
Navotas City,-,-,-,-
Parañaque City,-,-,-,-
Pasay City,-,-,-,-
Pasig City,-,-,-,-
Quezon City,-,-,-,-
San Juan City,-,-,-,-
Taguig City,-,-,-,-
Valenzuela City,-,-,-,-
Pateros,-,-,-,-
CAR (Cordillera Administrative Region),89351,1227,2095299,2185877
Abra,-,-,-,-
Apayao,7,172,5814,5993
Benguet,1500,-,75583,77083
Baguio City,35234,1026,1724469,1760729
Ifugao,35664,29,35603,71296
Kalinga,8378,-,119909,128287
Mountain Province,8568,-,133921,142489
Barlig,73,-,560,633
Bauko,225,-,1223,1448
Sagada,7348,-,97127,104475
Sadanga,-,-,55,55
Tadian,18,-,412,430
Bontoc,904,-,34544,35448
Region I  (ILOCOS REGION),82517,1625,2363259,2447401
Ilocos Norte,51879,1585,605778,659242
Bangui,-,-,5325,5325
Batac,-,-,535,535
Burgos,-,-,2629,2629
Currimao,75,-,20588,20663
Laoag City,4805,1585,138668,145058
Pagudpud,45659,-,400008,445667
Paoay,14,-,1434,1448
Pasuquin,-,-,2396,2396
San Nicolas,1326,-,27904,29230
Sarat,-,-,6291,6291
Ilocos Sur,3939,-,333063,337002
Bantay,900,-,76762,77662
Candon City,234,-,30076,30310
Sinait,-,-,-,-
Vigan City,2805,-,226225,229030
La Union,18698,33,638536,657267
Agoo,2,-,16086,16088
Aringay,-,-,35371,35371
Bacnotan,-,-,6356,6356
Baloaon,-,-,1117,1117
Bangar,-,-,51578,51578
Bauang,4891,-,100179,105070
Burgos,-,-,2511,2511
Caba,75,-,6598,6673
Luna,-,-,20970,20970
Naguilian,-,-,3528,3528
Pugo,-,-,-,-
Rosario,22,-,5500,5522
San Fernando City,8629,33,100552,109214
San Juan,4958,-,280641,285599
Santol,-,-,2139,2139
Sto. Tomas,49,-,1101,1150
Sudipen,52,-,2931,2983
Tubao,20,-,1378,1398
Pangasinan,8001,7,785882,793890
Alaminos,3791,-,125193,128984
Anda,125,-,42238,42363
Balungao,8,-,3216,3224
Bolinao,1106,-,160532,161638
Bugallion,139,-,13761,13900
Dagupan City,393,-,121177,121570
Dasol,-,-,-,-
Labrador,498,-,10033,10531
Lingayen,661,-,160383,161044
San Fabian,-,-,56362,56362
Urdaneta City,1185,7,91051,92243
Villasis,95,-,1936,2031
Region II  (CAGAYAN VALLEY),270431,92,904198,1174721
Batanes,1867,-,48594,50461
Cagayan,259915,92,333815,593822
Tuguegarao City,2451,-,169883,172334
Others,257464,92,163932,421488
Isabela,4814,-,363637,368451
Cauayan City,2009,-,112555,114564
Ilagan City,375,-,28841,29216
Santiago City,1596,-,149146,150742
Others,834,-,73095,73929
Nueva Vizcaya,3304,-,147533,150837
Quirino,531,-,10619,11150
Region III  (CENTRAL LUZON),339910,6977,4139477,4486364
Aurora,64,-,265410,265474
Bataan,6954,-,299963,306917
Bulacan,682,-,450744,451426
Nueva Ecija,13209,-,292394,305603
Pampanga,178397,-,452502,630899
Clark,170867,-,302295,473162
San Fernando City,7530,-,150207,157737
Others,-,-,-,-
Tarlac City,4690,-,8686,13376
Zambales,35708,-,638651,674359
Subic,42250,6498,1680687,1729435
Angeles City,57956,479,50440,108875
Olongapo City,-,-,-,-
Region IV-A  CALABARZON,564121,3532,7051421,7619074
Batangas,472546,-,2079603,2552149
Alitagtag,-,-,-,-
Balayan,298,-,33150,33448
Batangas City,8746,-,175648,184394
Balete,-,-,10662,10662
Bauan,55,-,10085,10140
Calatagan,308,-,119407,119715
Cuenca,-,-,36944,36944
Ibaan,-,-,3106,3106
Laurel,-,-,-,-
Lemery,-,-,14880,14880
Lian,-,-,-,-
Lipa City,7244,-,34813,42057
Lobo,-,-,69786,69786
Mabini,-,-,71830,71830
Malvar,9061,-,25949,35010
Mataas na Kahoy,-,-,-,-
Nasugbu,26238,-,792773,819011
Rosario,-,-,-,-
San Juan,814,-,349782,350596
Santo Tomas,22851,-,58233,81084
Taal,-,-,-,-
Talisay,396931,-,198109,595040
Tanauan,-,-,2209,2209
Tingloy,-,-,72237,72237
Cavite,59998,-,1045888,1105886
Amadeo,-,-,5281,5281
Cavite City,-,-,-,-
Gen. Trias,14605,-,21616,36221
Tagaytay City,21342,-,984702,1006044
Trece Martirez,24051,-,34289,58340
Laguna,18472,44,1098480,1116996
Calamba City,1178,-,887643,888821
Calauan,396,-,14071,14467
Cavinti,-,-,-,-
Los Bañ0s,62,-,66658,66720
Lumban,1954,-,83647,85601
Majayjay,-,-,8270,8270
Nagcarlan,95,44,6158,6297
Rizal,13100,-,20309,33409
San Pablo,-,-,-,-
Sta. Rosa City,1687,-,11724,13411
Victoria,-,-,-,-
Quezon,10139,3488,1094608,1108235
Agdangan,-,-,12163,12163
Alamat,18,-,1339,1357
Atimonan,-,-,107274,107274
Buenavista,3,-,18,21
Burdeos,-,-,49,49
Calauag,5,-,149,154
Catanauan,337,-,8705,9042
Candelaria,368,-,1979,2347
Dolores,-,-,3765,3765
Gen Luna,-,-,-,-
Gen. Nakar,-,-,8486,8486
Guinayangan,-,-,1916,1916
Gumaca,161,-,31820,31981
Infanta,-,-,25296,25296
Jomalig,-,-,18215,18215
Lopez,490,-,8152,8642
Lucban,-,-,-,-
Lucena City,-,-,-,-
Macelolon,-,-,-,-
Mauban,1840,-,161051,162891
Padre Burgos,88,-,18490,18578
Pagbilao,207,-,3146,3353
Panukulan,-,-,-,-
Patnanungan,-,-,606,606
Plaridel,-,-,-,-
Perez,24,-,478,502
Polillo,188,-,2110,2298
Quezon,23,-,4997,5020
Real,-,-,99176,99176
Sampaloc,232,-,-,232
San Andres,-,-,9786,9786
San Antonio,-,-,5095,5095
San Francisco,-,-,-,-
Sariaya,5674,-,424647,430321
Tagkawayan,70,-,8897,8967
Tayabas,-,-,106585,106585
Tiaong,411,3488,20218,24117
Unisan,-,-,-,-
Rizal,2966,0,1732842,1735808
Antipolo City,666,-,234333,234999
Angono,-,-,-,-
Baras,-,-,-,-
Binangonan,-,-,14987,14987
Cainta,-,-,2011,2011
Cordona,-,-,-,-
Jalajala,-,-,-,-
Morong,-,-,-,-
Pililia,-,-,-,-
Rodriguez,-,-,357165,357165
San Mateo,-,-,-,-
Tanay,2300,-,997153,999453
Taytay,-,-,127193,127193
Teresa,-,-,-,-
Region IV-B MIMAROPA,753629,7953,1729015,2490597
Marinduque,269,-,43427,43696
Boac,72,-,15471,15543
Buenavista,-,-,149,149
Gasan,137,-,3222,3359
Mogpog,-,-,525,525
Sta. Cruz,60,-,17685,17745
Torrijos,-,-,6375,6375
Occidental Mindoro,6061,152,155889,162102
Abra de Ilog,-,-,500,500
Calintaan,516,-,2595,3111
Looc,30,-,79,109
Lubang,335,152,12417,12904
Magsaysay,34,-,8528,8562
Mamburao,114,-,33014,33128
Paluan,-,-,155,155
Rizal,-,-,311,311
Sablayan,3196,-,28781,31977
San Jose,1730,-,64430,66160
Santa Cruz,106,-,5079,5185
Others,-,-,-,-
Oriental Mindoro,47012,211,329671,376894
Baco,59,-,728,787
Bansud,35,205,8609,8849
Bongabong,52,-,2639,2691
Bulalacao,301,-,29219,29520
Calapan City,7096,-,96278,103374
Gloria,59,-,46234,46293
Mansalay,117,-,1302,1419
Naujan,-,-,7169,7169
Pinamalayan,169,-,7419,7588
Pola,10,-,2386,2396
Puerto Galera,38714,6,80240,118960
Roxas,76,-,32210,32286
San Teodoro,125,-,8453,8578
Socorro,-,-,3214,3214
Victoria,199,-,3571,3770
Palawan,217299,1262,365883,584444
Aborlan,560,-,1678,2238
Araceli,62,-,456,518
Balabac,1533,31,1823,3387
Bataraza,-,-,12749,12749
Busuanga,1770,-,1468,3238
Brookes Point,863,-,19746,20609
Cagayancillo,-,-,-,-
Coron,44618,140,163342,208100
Cuyo,181,-,4871,5052
Culion,375,-,2856,3231
El Nido,-,-,1112,1112
Dumaran,122460,1083,78769,202312
Espanola,4,-,1902,1906
Linapacan,7491,7,1203,8701
Magsaysay,58,-,13,71
Narra,290,-,20838,21128
Quezon,299,-,15596,15895
Rizal,1260,-,7281,8541
Roxas,590,-,16668,17258
San Vicente,27556,1,7493,35050
Taytay,7329,-,6019,13348
Romblon,1158,2,43983,45143
Alcantara,96,2,1990,2088
Calatrava,-,-,349,349
Ferrol,-,-,262,262
Looc,4,-,149,153
Magdiwang,-,-,-,-
Odiongan,162,-,22031,22193
Romblon,639,-,15126,15765
San Agustin,14,-,387,401
San Andres,-,-,-,-
San Fernando,33,-,272,305
San Jose,210,-,2227,2437
Santa Maria,-,-,1190,1190
Puerto Princesa City,481830,6326,790162,1278318
Region V  (BICOL REGION),1003485,22674,5091441,6117600
Albay,395225,205,1434338,1829768
Legazpi City,383605,-,870778,1254383
Others,11620,205,563560,575385
Camarines Norte,41466,21066,499113,561645
Daet,-,-,-,-
Others,41466,21066,499113,561645
Camarines Sur,514913,-,2568371,3083284
Iriga City,14600,-,43713,58313
Naga City,198361,-,1285853,1484214
Others,301952,-,1238805,1540757
Catanduanes,7759,-,221463,229222
