province,foreign,ofw,domestic,total
Masbate Province,625,6,48748,49379
Masbate City,7800,-,102324,110124
Sorsogon Province,7211,1397,70883,79491
Sorsogon City,28486,-,146201,174687
Region VI  (WESTERN VISAYAS),783731,43095,4129072,4955898
Aklan,572588,22039,508707,1103334
Boracay,565351,21959,354558,941868
Buruanga,546,72,22004,22622
Kalibo,6462,-,124211,130673
Nabas,2,-,59,61
New Washington,227,8,7875,8110
Numancia,-,-,-,-
Tangalan,-,-,-,-
Antique,6668,-,101552,108220
Anini-y,233,-,41194,41427
Belison,97,-,856,953
Bugasong,-,-,-,-
Caluya,-,-,10053,10053
Culasi,2334,-,25606,27940
Hamtic,-,-,-,-
Laua-an,-,-,37,37
Libertad,-,-,255,255
Pandan,2766,-,7590,10356
Patnogon,-,-,217,217
San Remegio,-,-,-,-
Sebaste,1234,-,6224,7458
San Jose,-,-,3006,3006
Sibalom,-,-,6114,6114
Tibiao,-,-,-,-
Tobias Fornier,-,-,175,175
Valderrama,4,-,225,229
Capiz,4437,4175,257050,265662
Cuartero,-,-,2591,2591
Dao,50,10,3328,3388
Dumalag,5,-,2938,2943
Dumarao,30,97,763,890
Ivisan,10,-,5877,5887
Jamindan,9,2,2752,2763
Maayon,-,-,1373,1373
Mambusao,2,3,2667,2672
Panay,-,-,2235,2235
Panitan,35,-,2013,2048
Pilar,166,-,4360,4526
Pontevedra,27,4,15762,15793
Pres. Roxas,10,-,4833,4843
Roxas City,4001,3993,195241,203235
Sapian,66,66,2676,2808
Sigma,26,-,3873,3899
Tapaz,-,-,3768,3768
Guimaras,7494,-,126031,133525
Buenavista,15,-,6016,6031
Jordan,128,-,11549,11677
Nueva Valencia,6112,-,97553,103665
San Lorenzo,563,-,8728,9291
Sibunag,676,-,2185,2861
Others,-,-,-,-
Iloilo Province,6558,13,340804,347375
Ajuy,126,13,1997,2136
Alimodian,1,-,513,514
Badiangan,208,-,6498,6706
Balasan,5,-,771,776
Banate,-,-,11428,11428
Barotac Nuevo,2,-,518,520
Barotac Viejo,-,-,2674,2674
Batad,-,-,-,-
Bingawan,-,-,5751,5751
Cabatuan,148,-,5358,5506
Calinog,-,-,7824,7824
Carles,1618,-,73444,75062
Concepcion,140,-,16480,16620
Dingle,-,-,84,84
Duenas,5,-,1752,1757
Dumangas,1,-,2253,2254
Estancia,1653,-,38860,40513
Guimbal,60,-,17166,17226
Igbaras,12,-,1856,1868
Januiay,-,-,6133,6133
Lambunao,-,-,3843,3843
Leganes,456,-,30436,30892
Lemery,35,-,679,714
Leon,38,-,10856,10894
Maasin,12,-,5350,5362
Miagao,7,-,1217,1224
New Lucena,16,-,9621,9637
Oton,960,-,11611,12571
Passi,77,-,7711,7788
Pavia,36,-,1434,1470
Pototan,44,-,7796,7840
San Dionisio,6,-,2314,2320
San Enrique,-,-,1238,1238
San Joaquin,188,-,16000,16188
San Miguel,-,-,5430,5430
Sara,2,-,7726,7728
Sta. Barbara,265,-,5632,5897
Tigbauan,435,-,9006,9441
Tubungan,2,-,72,74
Zarraga,-,-,1472,1472
Negros Occidental,34690,118,885434,920242
Bago,109,-,29968,30077
Binalbagan,65,-,9117,9182
Cadiz,3711,-,51466,55177
Calatrava,21,-,3227,3248
Candoni,-,-,-,-
Cauayan,-,-,-,-
DS Benedicto,-,-,-,-
Escalante,89,-,27921,28010
Hinigaran,32,-,12212,12244
Hinobaan,732,79,13946,14757
Kabankalan,1326,-,62194,63520
La Carlota,23,-,14892,14915
Las Castellana,-,-,-,-
Mambukal,-,-,-,-
Manapla,607,-,5982,6589
Moises,-,-,-,-
Murcia,3923,-,414345,418268
Pulupandan,-,-,-,-
Sagay,204,-,20585,20789
San Carlos,349,39,55258,55646
San Enrique,-,-,-,-
Silay,13,-,22039,22052
Sipalay,22924,-,88314,111238
Talisay,562,-,49402,49964
Victorias,-,-,4566,4566
Bacolod City,80509,-,754944,835453
Iloilo City,70787,16750,1154550,1242087
Region VII (CENTRAL VISAYAS),3602646,31649,4465051,8099346
Bohol,641527,4555,850047,1496129
Anda,8841,398,25448,34687
Antequera,-,-,-,-
Baclayon,2384,-,10853,13237
Batuan,97,-,260,357
Bien Unido,-,-,-,-
Bilar,2494,-,15695,18189
Buenavista,8,-,143,151
Calape,1173,-,978,2151
Candijay,20,-,600,620
Carmen,2389,-,4392,6781
Catigbian,-,-,116,116
Danao,142,-,858,1000
Dauis,36186,17,33813,70016
Dimiao,-,-,-,-
Garcia Hernandez,-,-,-,-
Getafe,-,-,-,-
Guindulman,1281,-,6094,7375
Inabanga,-,-,890,890
Jagna,585,-,11300,11885
Lila,105,-,236,341
Loay,-,-,-,-
Loon,1522,-,532,2054
Loboc,2385,-,450,2835
Maribojoc,217,-,651,868
Panglao,526388,,336057,863372
Sagbayan,-,-,-,-
San Isidro,-,-,-,-
Sikatuna,-,-,508,508
Tagbilaran,53830,3205,334622,391657
Talibon,707,-,24264,24971
Tubigon,279,8,9626,9913
Ubay,-,-,25317,25317
Valencia,494,-,6344,6838
Cebu,456313,6485,630623,1093421
Alcoy,2502,-,12989,15491
Alcantara,-,-,-,-
Alegria,396,-,9382,9778
Aloquinsan,8,-,1770,1778
Argao,1048,223,16897,18168
Asturias,346,-,3932,4278
Badian,26,-,768,794
Balamban,487,-,4555,5042
Bantayan,232,-,20249,20481
Barili,450,-,1600,2050
Bogo City,1224,-,32792,34016
Borbon,34,-,318,352
Boljoon,4454,-,9403,13857
Carcar,1834,-,4083,5917
Carmen,-,-,-,-
Catmon,-,-,-,-
Cordova,164022,65,19706,183793
Daanbantayan,86369,3279,28343,117991
Dalaguete,868,-,21769,22637
Danao City,3753,-,42011,45764
Ginatilan,-,-,-,-
Madridejos,-,-,-,-
Medellin,32153,-,20137,52290
Minglanilla,-,-,-,-
Moalboal,30355,5,6008,36368
Oslob,37830,1602,45582,85014
Pilar,561,-,836,1397
Pinamungahan,650,48,25155,25853
Poro,436,-,2589,3025
Ronda,292,-,784,1076
Samboan,1071,-,2178,3249
San Fernando,11222,-,373,11595
San Francisco,13970,-,54824,68794
San Remegio,24960,-,74502,99462
Santander,3701,-,3365,7066
Santa Fe,27947,1263,149822,179032
Sibonga,-,-,494,494
Sogod,260,-,2078,2338
Tabogon,46,-,407,453
Talisay,-,-,-,-
Toledo City,2560,-,5124,7684
Tuburan,88,-,4298,4386
Tudela,158,-,1500,1658
Negros Oriental,115924,386,766985,883295
Amlan,334,-,2888,3222
Bacong,1980,-,1423,3403
Bais,3412,-,5521,8933
Basay,1218,-,4583,5801
Bayawan,755,-,14377,15132
Canlaon,235,1,12944,13180
Dauin,27704,-,7147,34851
Dumaguete,50153,385,656151,706689
Guijulngan,143,-,3855,3998
La Libertad,3509,-,3051,6560
Jimalaud,230,-,127,357
Mabinay,5222,-,18275,23497
Manjuyod,285,-,15421,15706
San Jose,339,-,198,537
Siaton,2890,-,3269,6159
Sibulan,3395,-,1300,4695
Tanjay,65,-,1513,1578
Valencia,10177,-,14314,24491
Zamboanguita,3878,-,628,4506
Siquijor,66788,-,77238,144026
E. Villanueva,631,-,854,1485
Larena,3421,-,6694,10115
Lazi,2440,-,3616,6056
Maria,781,-,7852,8633
San Juan,44932,-,27231,72163
Siquijor,14583,-,30991,45574
Cebu City,896107,12873,1650762,2559742
Lapu-lapu City,1337958,2401,376579,1716938
Mandaue City,88029,4949,112817,205795
Region VIII (EASTERN VISAYAS),50674,2536,1724446,1777656
Biliran,1159,-,17311,18470
Almeria,284,-,2664,2948
Caibiran,-,-,304,304
Cabucgayan,54,-,421,475
Culaba,-,-,-,-
Kawayan,-,-,-,-
Maripipi,-,-,-,-
Naval,821,-,13922,14743
Eastern Samar,1016,-,78064,79080
Borongan City,638,-,59981,60619
Can-Avid,7,-,1020,1027
Gen. McArthur,-,-,-,-
Guiuan,371,-,17063,17434
Llorente,-,-,-,-
Quinapondan,-,-,-,-
Taft,-,-,-,-
Leyte,10804,-,576855,587659
Abuyog,-,-,-,-
Alburera,-,-,106012,106012
Bago,-,-,-,-
Bato,-,-,8328,8328
Baybay City,809,-,203408,204217
Hilongos,-,-,12526,12526
Inopacan,-,-,3152,3152
Isabel,126,-,5360,5486
Kanangga,-,-,-,-
Matalom,352,-,86893,87245
McArthur,9,-,246,255
Ormoc City,5747,-,104277,110024
Palo,-,-,-,-
Palompon,3735,-,41681,45416
San Isidro,-,-,-,-
Tolosa,26,-,4972,4998
Northern Samar,643,-,103212,103855
Allen,158,-,12686,12844
Biri,121,-,6053,6174
Bobon,4,-,2383,2387
Capul,75,-,1487,1562
Catarman,131,-,60202,60333
Gamay,-,-,544,544
Las Navas,-,-,323,323
Mondragon,21,-,481,502
Navar,-,-,-,-
Palapag,-,-,-,-
San Antonio,131,-,14802,14933
San Roque,2,-,837,839
Victoria,-,-,1368,1368
Samar,8723,-,250253,258976
Calbayog City,7928,-,140459,148387
Catbalogan,795,-,109794,110589
Basey,-,-,-,-
Marabut,-,-,-,-
Paranas,-,-,-,-
Southern Leyte,5248,9,164555,169812
Hinunangan,137,-,10449,10586
Hinundayan,45,-,1392,1437
Liloan,65,-,6857,6922
Limasawa,-,-,10339,10339
Maasin City,2287,-,77024,79311
Macrohon,2253,-,22610,24863
Padre Burgos,-,-,-,-
Pintuyan,-,-,-,-
San Juan,25,-,1511,1536
Saint Bernard,1,-,2743,2744
Silago,-,-,601,601
Sogod,433,-,27309,27742
Tomas Oppus,2,9,3720,3731
Others (Southern Leyte),-,-,-,-
Tacloban City,23081,2527,534196,559804
Region IX (ZAMBOANGA PENINS,16830,15400,1096952,1129182
Zamboanga del Norte,5389,-,356514,361903
Dapitan City,867,-,126091,126958
Dipolog City,4458,-,217182,221640
Others,64,-,13241,13305
Zamboanga del Sur,704,-,145449,146153
Pagadian City,704,-,145449,146153
Others,1765,30,19490,21285
Zamboanga Sibugay,86,-,85760,85846
Isabela City,-,-,-,-
Zamboanga City,8886,15370,489739,513995
Region X (NORTHERN MINDANAO,63444,218,3039362,3103024
Bukidnon,1988,-,310600,312588
Malaybalay City,1204,-,83681,84885
Valencia City,646,-,198467,199113
Others,138,-,28452,28590
Camiguin,16231,-,750874,767105
Lanao del Norte,615,-,39311,39926
Iligan City,3200,27,353496,356723
Misamis Occidental,2700,-,573121,575821
Ozamis City,2528,-,315990,318518
Tangub City,26,-,24248,24274
Oroquieta City,122,-,216146,216268
Others,24,-,16737,16761
Misamis Oriental,1233,-,173092,174325
Gingoog City,308,-,122132,122440
Others,925,-,50960,51885
Cagayan de Oro City,37477,191,838868,876536
Region XI  (DAVAO REGION),198005,60968,3716546,3975519
Compostela Valley,193,-,563241,563434
Davao del Norte,6779,18,808895,815692
Asuncion,-,-,-,-
Island Garden City of Samal,-,-,-,-
Kapalong,-,-,-,-
New Corella,-,-,-,-
Panabo City,-,-,-,-
Tagum City,-,-,-,-
Others,6779,18,808895,815692
Davao del Sur,4004,2235,34321,40560
Davao City,184495,58715,2150185,2393395
Davao Occcidental,-,-,13100,13100
Davao Oriental,2534,-,146804,149338
Region XII  (SOCCSSARGEN),18810,9,1681914,1700733
North Cotabato,79,-,330683,330762
Kidapawan City,79,-,254027,254106
Others (Cotabato Province),-,-,76656,76656
Sarangani,435,-,192364,192799
South Cotabato,4989,9,321590,326588
Koronadal City,4330,9,263523,267862
Others,659,-,58067,58726
Sultan Kudarat,77,-,29342,29419
Tacurong City,77,-,29342,29419
Others,-,-,-,-
Cotabato City,1813,-,172195,174008
General Santos City,11417,-,635740,647157
Region XIII (CARAGA),87093,1804,1395520,1484417
Agusan del Norte,366,14,62564,62944
Butuan City,11849,1474,362812,376135
Cabadbaran City,251,-,43848,44099
Others,115,14,18716,18845
Agusan del Sur,592,-,188240,188832
Bayugan,57,-,18815,18872
Others,535,-,169425,169960
Dinagat Islands,843,-,86509,87352
Surigao del Norte,72133,316,422181,494630
Siargao Islands,57037,308,123843,181188
Surigao City,14600,8,273611,288219
Others,496,-,24727,25223
Surigao del Sur,1310,-,273214,274524
Bislig City,107,-,48812,48919
Tandag City,299,-,90300,90599
Others,904,-,134102,135006
GRAND TOTAL,8211535,200548,44961494,53373577
