province,foreign,ofw,domestic,total
Daet,,,,
Others,,,,
Camarines Sur,393014,1232,1668223,2062469
Iriga City,5365,1232,28352,34949
Naga City,181018,,876154,1057172
Others,206631,,763717,970348
Catanduanes,9887,2193,164825,176905
Masbate Province,2713,273,61744,64730
Masbate City,3925,162,194033,198120
Sorsogon Province,11870,,169962,181832
Sorsogon City,16448,745,117503,134696
Region VI  (WESTERN VISAYAS),937021,50350,3644960,4632331
Aklan,779145,42529,928514,1750188
Boracay,769560,42529,748017,1560106
Bumanga,,,,
Kalibo,9356,,166929,176285
New Washington,218,,8912,9130
Numancia,11,,4656,4667
Tangalan,,,,
Antique,4134,-,46032,50166
Anini-y,105,,7394,7499
Belison,29,,36,65
Culasi,2812,,17409,20221
Libertad,87,,9221,9308
Pandan,1019,,3737,4756
Patnogon,15,,4676,4691
San Jose,67,,3313,3380
Tobias Fornier,,,246,246
Capiz,5878,4795,152551,163224
Cuartero,25,,3036,3061
Dao,58,14,79,151
Dumalag,64,,2840,2904
Dumarao,4,5,102,111
Ivisan,37,34,1993,2064
Jamindan,,,722,722
Maayon,,,467,467
Mambusao,9,,1186,1195
Panay,40,,2552,2592
Panitan,,,,
Capiz,,,,
Pilar,7,3,942,952
Pontevedra,119,245,12272,12636
Pres. Roxas,,,3734,3734
Roxas City,5293,4363,120727,130383
Sapian,131,9,122,262
Sigma,28,122,1580,1730
Tapaz,63,,197,260
Guimaras,3449,-,90866,94315
Buenavista,8,,1754,1762
Jordan,130,,5503,5633
Nueva Valencia,2545,,68938,71483
San Lorenzo,327,,1711,2038
Sibunag,439,,12960,13399
Others,,,,
Iloilo Province,3093,3,203108,206204
Ajuy,41,,2344,2385
Alimodian,,,3411,3411
Badiangan,6,,5373,5379
Balasan,,,730,730
Banate,,,6489,6489
Barotac Nuevo,,,735,735
Barotac Viejo,33,,5220,5253
Cabatuan,113,,2593,2706
Calinog,,,1659,1659
Carles,611,3,35615,36229
Concepcion,110,,2861,2971
Dingle,,,20,20
Duenas,,,1054,1054
Dumangas,2,,32,34
Estancia,437,,28741,29178
Guimbal,3,,19139,19142
Igbaras,3,,1816,1819
Januiay,507,,11125,11632
Lambunao,,,648,648
Leganes,54,,3917,3971
Leon,168,,4090,4258
Maasin,,,3727,3727
Milagao,148,,3565,3713
Iloilo Province,,,,
New Lucena,86,,5351,5437
Oton,248,,5406,5654
Passi,91,,2130,2221
Pavia,,,792,792
Pototan,118,,6488,6606
San Dionisio,4,,665,669
San Joaquin,6,,19972,19978
San Miguel,29,,4993,5022
Sara,40,,1656,1696
Sta. Barbara,92,,3069,3161
Tigbauan,133,,6119,6252
Zarraga,10,,1563,1573
Negros Occidental,44312,760,667011,712083
Bago,1150,40,38158,39348
Binalbagan,44,,2890,2934
Cadiz,151,,20682,20833
Calatrava,35,,2436,2471
Candoni,,,,0
Cauayan,,,,0
DS Benedicto,,,163,163
Escalante,557,,10775,11332
Hinigaran,270,,8526,8796
Hinobaan,323,294,4065,4682
Ilog,,,,
Kabankalan,2037,29,29132,31198
La Carlota,79,,10961,11040
Las Castellana,,,,
Mambukal,4994,,362361,367355
Manapla,139,24,646,809
Murcia,,,,
Pulupandan,,,,
Sagay,220,,22009,22229
San Carlos,771,58,20368,21197
San Enrique,35,,3611,3646
Silay,256,275,18038,18569
Sipalay,32532,,68851,101383
Talisay,656,40,25033,25729
Victorias,63,,18306,18369
Bacolod City,54333,113,644615,699061
Iloilo City,42677,2150,912263,957090
Region VII (CENTRAL VISAYAS),1935906,15189,2658623,4609718
Bohol,215269,2150,384838,602257
Anda,4869,54,12391,17314
Antequera,,,,0
Baclayon,515,,10888,11403
Batuan,61,,297,358
Bien Unido,6,,72,78
Bilar,733,,142,875
Buenavista,27,,515,542
Calape,42,,173,215
Candijay,,,14,14
Carmen,724,26,5209,5959
Catigbian,,,,0
Danao,94,,232,326
Dauis,8761,8,21834,30603
Dimiao,3,,383,386
Garcia Hernandez,61,,4525,4586
Getafe,0,,104,104
Jagna,752,1,5511,6264
Lila,2,,16,18
Loay,12,,4,16
Loon,,,142,142
Loboc,2452,15,704,3171
Maribojoc,21,,345,366
Panglao,164315,132,138505,302952
Sagbayan,969,,3880,4849
Sikatuna,38,,341,379
Tagbilaran,28527,1914,139142,169583
Talibon,1025,,12718,13743
Tubigon,502,,5775,6277
Ubay,62,,18883,18945
Valencia,696,,2093,2789
Cebu,120708,520,218239,339467
Alcoy,624,,1226,1850
Alcantara,10,,10,20
Amlan,,,,
Alegria,1289,,5265,6554
Aloquinsan,16,,1579,1595
Argao,791,,8410,9201
Asturias,197,,1222,1419
Badian,959,,91,1050
Balamban,347,,4582,4929
Bantayan,27,,1394,1421
Barili,745,,,745
Bogo City,6924,,9281,16205
Borbon,,,,
Boljoon,1351,,2101,3452
Carcar,399,,1668,2067
Carmen,180,,1279,1459
Catmon,,,479,479
Cordova,5649,,12857,18506
Daanbantayan,2645,6,454,3105
Dalaguete,266,,22406,22672
Danao City,3821,,14166,17987
Ginatilan,34,1,162,197
Madridejos,24,,695,719
Medellin,20133,10,12286,32429
Minglanilla,,,,
Moalboal,18465,10,11988,30463
Oslob,2863,,1598,4461
Pilar,4,,57,61
Pinamungahan,1606,,2408,4014
Poro,172,,529,701
Ronda,58,,261,319
San Fernando,9153,,201,9354
San Francisco,1924,,,1924
San Remegio,23321,,46277,69598
Santander,2566,,982,3548
Santa Fe,12164,435,44463,57062
Sibonga,234,,44,278
Sogod,226,,1987,2213
Talisay,629,58,985,1672
Toledo City,892,,4846,5738
Negros Oriental,104926,3353,517016,625295
Amlan,581,59,1049,1689
Bacong,429,,481,910
Bais,1788,,5891,7679
Basay,1855,12,3214,5081
Bayawan,1037,,12437,13474
Canlaon,299,,10122,10421
Dauin,13726,,6557,20283
Dumaguete,69472,3171,417403,490046
