province,foreign,ofw,domestic,total
Bataraza,0,0,11877,11877
Busuanga,3314,0,1356,4670
Brookes Point,182,0,16441,16623
Cagayancillo,,,,0
Coron,31584,260,50389,82233
Cuyo,256,0,287,543
Culion,752,0,1733,2485
El Nido,38679,0,27809,66488
Linapacan,1504,0,600,2104
Narra,0,0,0,0
Puerto Princesa City,284586,0,572119,856705
Quezon (Palawan),262,0,7890,8152
Rizal (Palawan),12,0,1564,1576
Roxas,329,0,12521,12850
San Vicente,18071,0,2954,21025
Taytay,6176,0,9702,15878
Romblon,3452,4118,51702,59272
Alcantara,142,0,952,1094
Ferrol,187,0,0,187
Looc,0,0,0,-
Odiongan,282,0,12353,12635
Romblon,2582,4118,35753,42453
San Agustin,0,0,170,170
San Jose,252,0,967,1219
Santa Maria,7,0,1507,1514
Region V  (BICOL REGION),1026104,16458,4366780,5409342
Albay,439169,0,1376881,1816050
Legazpi City,426449,0,773001,1199450
Others,12720,0,603880,616600
Camarines Norte,40837,16458,355561,412856
Daet,0,0,0,-
Others,40837,16458,355561,412856
Camarines Sur,495978,0,1915148,2411126
Iriga City,18819,0,27779,46598
Naga City,243856,0,967745,1211601
Others,233303,0,919624,1152927
Catanduanes,6672,0,193325,199997
Masbate Province,4479,0,65715,70194
Masbate City,8288,0,204219,212507
Sorsogon Province,10212,0,129516,139728
Sorsogon City,20469,0,126415,146884
Region VI  (WESTERN VISAYAS),1032133,47666,4113835,5193634
Aklan,878801,43449,1018473,1940723
Boracay,868765,43416,813302,1725483
Bumanga,0,0,0,-
Kalibo,9689,16,196332,206037
New Washington,347,17,8839,9203
Numancia,0,0,0,-
Tangalan,0,0,0,-
Antique,6722,0,56891,63613
Anini-y,122,0,9565,9687
Belison,20,0,50,70
Culasi,2823,0,31265,34088
Libertad,6,0,5,11
Pandan,3656,0,7202,10858
Patnogon,3,0,0,3
Sebaste,3,0,77,80
San Jose,36,0,312,348
Sibalom,43,0,2965,3008
Tobias Fornier,10,0,5416,5426
Valderrama,0,0,34,34
Capiz,3374,2818,184084,190276
Cuartero,24,0,2877,2901
Dao,12,13,1429,1454
Dumalag,34,20,2391,2445
Dumarao,2,0,270,272
Ivisan,10,21,3762,3793
Jamindan,0,0,1956,1956
Maayon,83,0,553,636
Mambusao,0,0,1492,1492
Panay,0,0,1055,1055
Panitan,0,0,1496,1496
Pilar,21,0,1386,1407
Pontevedra,39,75,13492,13606
Pres. Roxas,0,0,4221,4221
Roxas City,2997,2648,144300,149945
Sapian,99,23,518,640
Sigma,13,18,2591,2622
Tapaz,40,0,295,335
Guimaras,3471,0,103743,107214
Buenavista,36,0,2094,2130
Jordan,218,0,9272,9490
Nueva Valencia,2652,0,79991,82643
San Lorenzo,245,0,9382,9627
Sibunag,320,0,3004,3324
Others,0,0,0,-
Iloilo Province,4212,13,248098,252323
Ajuy,105,12,3268,3385
Alimodian,9,0,2608,2617
Badiangan,37,0,4132,4169
Balasan,0,0,1242,1242
Banate,8,0,14561,14569
Barotac Nuevo,15,0,617,632
Barotac Viejo,28,0,1168,1196
Cabatuan,20,0,3979,3999
Calinog,0,0,4776,4776
Carles,1090,0,35155,36245
Concepcion,70,0,6297,6367
Dingle,0,0,0,-
Duenas,68,0,2018,2086
Dumangas,0,0,48,48
Estancia,854,0,31656,32510
Guimbal,61,0,31880,31941
Igbaras,26,0,1533,1559
Iloilo City,29654,269,965000,994923
Januiay,0,0,8364,8364
Lambunao,0,0,707,707
Leganes,25,0,9436,9461
Lemery,0,0,286,286
Leon,49,0,6434,6483
Maasin,2,0,11103,11105
Milagao,72,0,2417,2489
New Lucena,28,0,4960,4988
Oton,342,0,8452,8794
Passi,74,0,3079,3153
Pavia,14,0,1471,1485
Pototan,198,0,5670,5868
San Dionisio,104,0,3764,3868
San Joaquin,133,0,15939,16072
San Miguel,0,0,6299,6299
Sara,246,0,1454,1700
Sta. Barbara,215,0,3103,3318
Tigbauan,302,0,8233,8535
Tubungan,11,1,558,570
Zarraga,6,0,1431,1437
Negros Occidental,35359,401,809578,845338
Bago,1598,22,50186,51806
Binalbagan,55,0,4435,4490
Cadiz,320,0,23026,23346
Calatrava,32,0,2832,2864
Candoni,0,0,0,-
Cauayan,0,0,19762,19762
DS Benedicto,0,0,0,-
Escalante,210,0,10022,10232
Hinigaran,148,0,6192,6340
Hinobaan,572,358,8113,9043
Kabankalan,0,21,61127,61148
La Carlota,1383,0,10875,12258
Las Castellana,82,0,1283,1365
Mambukal,71,0,0,71
Manapla,0,0,242,242
Moises,63,0,33011,33074
Murcia,2511,0,406122,408633
Pulupandan,0,,,-
Sagay,165,0,18618,18783
San Carlos,265,0,14898,15163
San Enrique,24,0,2632,2656
Silay,44,0,20318,20362
Sipalay,27428,0,91697,119125
Talisay,373,0,15935,16308
Victorias,15,0,8252,8267
Bacolod City,70540,716,727968,799224
Region VII (CENTRAL VISAYAS),2323131,11533,3619941,5954605
Bohol,266313,1958,731915,1000186
Anda,3094,0,1949,5043
Antequera,0,0,0,0
Baclayon,472,0,12708,13180
Batuan,28,0,590,618
Bien Unido,0,0,0,0
Bilar,1861,0,8336,10197
Buenavista,16,0,100,116
Calape,26,0,65,91
Candijay,12,0,227,239
Carmen,1257,0,5700,6957
Catigbian,0,0,0,0
Danao,560,0,4306,4866
Dauis,11722,0,28523,40245
Dimiao,0,0,0,0
Garcia Hernandez,69,0,1367,1436
Getafe,8,0,1076,1084
Inabanga,49,0,119,168
Jagna,1285,0,8862,10147
Lila,15,0,2,17
Loay,0,0,0,0
Loon,689,0,1023,1712
Loboc,2625,0,232,2857
Maribojoc,59,0,433,492
Panglao,212827,1847,405435,620109
Sagbayan,0,0,131,131
Sikatuna,208,0,1925,2133
Tagbilaran,27921,111,202673,230705
Talibon,1029,0,12154,13183
Tubigon,62,0,7776,7838
Ubay,30,0,23138,23168
Valencia,389,0,3065,3454
Cebu,126771,1072,261806,389649
Alcoy,589,0,1360,1949
Alcantara,38,44,34,116
Alegria,1042,0,7524,8566
Aloquinsan,27,0,1649,1676
Argao,997,10,11723,12730
Asturias,496,0,3148,3644
Badian,0,0,0,-
Balamban,524,0,6491,7015
Bantayan,270,0,362,632
Barili,596,0,695,1291
Bogo City,8067,0,15470,23537
Borbon,64,0,467,531
Boljoon,3585,0,2641,6226
Carcar,374,0,2061,2435
Carmen,135,0,1055,1190
Catmon,0,0,0,-
Cebu City,687300,2885,1643988,2334173
Lapu-lapu City,1036910,3995,316199,1357104
Mandaue City,24535,99,66578,91212
Cordova,6633,0,13693,20326
Daanbantayan,9198,217,4667,14082
Dalaguete,1942,0,23727,25669
Danao City,1197,0,3460,4657
Ginatilan,143,0,463,606
Madridejos,0,0,0,-
Medellin,11151,0,4361,15512
Minglanilla,0,0,0,-
Moalboal,12658,8,10159,22825
Oslob,16990,453,22052,39495
Pilar,0,0,0,-
Pinamungahan,2592,0,1801,4393
Poro,459,2,1050,1511
Ronda,174,0,280,454
Samboan,552,12,1178,1742
San Fernando,4720,0,80,4800
San Francisco,5172,0,6886,12058
San Remegio,17208,0,59540,76748
Santander,4506,0,2654,7160
Santa Fe,13891,326,44665,58882
Sibonga,0,0,0,-
Sogod,176,0,2128,2304
Talisay,2,0,222,224
Toledo City,603,0,4060,4663
Negros Oriental,140329,1524,554550,696403
Amlan,513,0,1330,1843
Bacong,632,0,963,1595
Bais,2222,0,6397,8619
Basay,1958,0,6077,8035
Bayawan,440,0,11659,12099
Canlaon,187,0,11858,12045
Dauin,13993,6,7119,21118
Dumaguete,103723,1264,437062,542049
Guijulngan,13,0,2662,2675
La Libertad,113,0,5353,5466
Jimalaud,19,0,459,478
Mabinay,528,0,18953,19481
Manjuyod,294,0,11293,11587
San Jose,396,0,184,580
Siaton,1126,0,4703,5829
Sibulan,723,0,1269,1992
Tanjay,69,15,2426,2510
Valencia,2353,0,20335,22688
Zamboanguita,11027,239,4448,15714
Siquijor,40973,0,44905,85878
E. Villanueva,214,0,312,526
Larena,2315,0,6266,8581
Lazi,1198,0,886,2084
Maria,1250,0,6844,8094
San Juan,29018,0,14973,43991
Siquijor (Siquijor),6978,0,15624,22602
Region VIII (EASTERN VISAYAS),46896,2071,1137498,1186465
Biliran,516,0,6799,7315
Almeria,141,0,2159,2300
Caibiran,8,0,353,361
Cabucgayan,123,0,415,538
Culaba,0,0,0,-
Kawayan,0,0,0,-
Maripipi,0,0,0,-
Naval,244,0,3872,4116
Eastern Samar,1877,0,44385,46262
Borongan City,1453,0,31062,32515
Guiuan,390,0,11982,12372
Llorente,32,0,1115,1147
Quinapondan,2,0,226,228
Leyte,3109,0,236157,239266
Abuyog,0,0,20959,20959
Alburera,0,0,26255,26255
Bato,0,0,4891,4891
Baybay City,1476,0,108089,109565
Hilongos,0,0,8614,8614
Inopacan,0,0,0,-
Isabel,85,0,1453,1538
Kanangga,0,0,0,-
McArthur,0,0,0,-
Ormoc City,932,0,55407,56339
Palo,0,0,0,-
San Isidro,616,0,10489,11105
Tacloban City,16001,2059,497818,515878
Northern Samar,518,0,73162,73680
Allen,90,0,12667,12757
Biri,123,0,2822,2945
Capul,13,0,496,509
Catarman,189,0,39469,39658
Navar,9,0,456,465
Palapag,-,0,-,-
San Antonio,94,0,15495,15589
San Roque,0,0,1757,1757
Victoria,0,0,0,-
Samar,21862,0,155995,177857
Calbayog City,5211,0,119686,124897
Catbalogan,16302,0,34411,50713
Basey,0,0,0,-
Marabut,349,0,1898,2247
Paranas,0,0,0,-
Southern Leyte,3013,12,123182,126207
Hinunangan,0,0,4627,4627
Hinundayan,10,12,719,741
Limasawa,662,0,7339,8001
Maasin City,1846,0,73432,75278
Macrohon,270,0,4615,4885
Padre Burgos,0,0,0,-
Pintuyan,66,0,0,66
Saint Bernard,0,0,1760,1760
Sogod,70,0,26264,26334
Others,89,0,4426,4515
Region IX (ZAMBOANGA PENINSULA),12028,13267,653812,679107
Zamboanga del Norte,7211,0,243105,250316
Dapitan City,431,0,50801,51232
Dipolog City,6780,0,192304,199084
Zamboanga del Sur,0,0,0,-
Zamboanga City,4817,13267,398970,417054
Pagadian City,0,0,0,-
Zamboanga Sibugay,0,0,11737,11737
Isabela City,0,0,0,-
Region X (NORTHERN MINDANAO),91855,3106,2511194,2606155
Bukidnon,4778,72,283236,288086
Malaybalay City,1915,0,34351,36266
Valencia City,2780,0,229260,232040
Others,83,72,19625,19780
Camiguin,12882,0,620643,633525
Lanao del Norte,426,0,30854,31280
Iligan City,941,0,74989,75930
Misamis Occidental,3516,0,744770,748286
Ozamis City,2635,0,370111,372746
Tangub City,30,0,20216,20246
Oroquieta City,124,0,94766,94890
Others,727,0,259677,260404
Misamis Oriental,3657,0,51570,55227
Gingoog City,416,0,38560,38976
Others,3241,0,13010,16251
Cagayan de Oro City,65655,3034,705132,773821
Region XI  (DAVAO REGION),167705,23386,3112225,3303316
Compostela Valley,436,0,130181,130617
Davao del Norte,40542,130,976614,1017286
Asuncion,0,0,0,-
Island Garden City of Samal,12069,65,284745,296879
Kapalong,0,0,0,-
New Corella,0,0,0,-
Panabo City,0,0,0,-
Tagum City,0,0,0,-
Others,28473,65,691869,720407
Davao del Sur,580,0,35344,35924
Davao City,124350,23256,1716224,1863830
Davao Occcidental,2,0,5000,5002
Davao Oriental,1795,0,248862,250657
Region XII  (SOCCSSARGEN),46872,0,988485,1035357
North Cotabato,1140,0,81108,82248
Kidapawan City,1140,0,81108,82248
Sarangani,11253,0,87556,98809
South Cotabato,856,0,107492,108348
General Santos City,8567,0,514168,522735
Koronadal City,0,0,78052,78052
Others,856,0,29440,30296
Sultan Kudarat,139,0,28939,29078
Tacurong City,88,0,23915,24003
Others,51,0,5024,5075
Cotabato Province,9,0,47087,47096
Maguindanao,,,,
Cotabato City,24908,0,122134.5,147043
Region XIII (CARAGA),64119,3172,1071564,1138855
Agusan del Norte,507,68,48226,48801
Butuan City,18246,2287,155601,176134
Cabadbaran City,373,68,28866,29307
Others,134,0,19360,19494
Agusan del Sur,126,-,156169,156295
Dinagat Islands,1065,161,48194,49420
Surigao del Norte,41825,656,437491,479972
Surigao City,13129,200,286650,299979
Others,28696,456,150841,179993
Surigao del Sur,2350,-,225883,228233
Bislig City,1289,0,44842,46131
Tandag City,263,0,99886,100149
Others,798,0,81155,81953
GRAND TOTAL,7030392,146644,35305384,42482420
