province,foreign,ofw,domestic,total
NCR (National Capital Region),245138,-,249545,494683
Caloocan City,,,,
Las Piñas City,,,,
Makati City,,,,
Malabon City,,,,
Mandaluyong City,,,,
Manila,,,,
Marikina City,,,,
Muntinlupa City,,,,
Navotas City,,,,
Parañaque City,,,,
Pasay City,,,,
Pasig City,,,,
Quezon City,,,,
San Juan City,,,,
Taguig City,,,,
Valenzuela City,,,,
Pateros,,,,
CAR (Cordillera Administrative Region),117241,923,1670484,1788648
Abra,344,0,7913,8257
Apayao,23,101,3843,3967
Benguet,4080,415,86884,91379
Baguio City,50778,407,1243721,1294906
Ifugao,28312,0,36043,64355
Kalinga,20652,0,147290,167942
Mountain Province,13052,0,144790,157842
Region I  (ILOCOS REGION),99147,362,1991321,2090830
Ilocos Norte,61556,15,493605,555176
Bangui,94,0,870,964
Batac,0,0,0,-
Currimao,1069,0,34068,35137
Laoag City,30913,15,194023,224951
Pagudpud,26958,0,240628,267586
Paoay,1206,0,646,1852
Pasuquin,0,0,0,-
San Nicolas,1316,0,23370,24686
Ilocos Sur,8044,0,274112,282156
Candon City,329,0,19568,19897
Sinait,0,0,0,-
Vigan City,7715,0,254544,262259
La Union,11597,347,459603,471547
Agoo,0,0,40189,40189
Aringay,114,0,4762,4876
Bacnotan,0,0,5225,5225
Baloaon,15,17,7522,7554
Bauang,3541,0,57799,61340
Caba,0,0,0,-
Luna,0,0,0,-
Naguilian,0,0,0,-
Pugo,0,0,0,-
Rosario,0,0,3295,3295
San Fernando City,5758,330,83252,89340
San Juan,1806,0,254206,256012
Santol,0,0,0,-
Sto. Tomas,72,0,285,357
Sudipen,291,0,3068,3359
Tubao,0,0,0,-
Pangasinan,17950,0,764001,781951
Alaminos,2838,0,27461,30299
Anda,743,0,21250,21993
Bolinao,3012,0,127899,130911
Dagupan City,1857,0,78286,80143
Dasol,0,0,0,-
Lingayen,7621,0,396124,403745
San Fabian,562,0,75068,75630
Urdaneta City,1317,0,37913,39230
Region II  (CAGAYAN VALLEY),263048,343,563450,826841
Batanes,1226,0,26168,27394
Cagayan,256279,221,199445,455945
Tuguegarao City,3491,118,106737,110346
Others,252788,103,92708,345599
Isabela,4374,60,229215,233649
Cauayan City,658,0,95325,95983
Ilagan City,462,40,21824,22326
Santiago City,1444,20,78518,79982
Others,1810,0,33548,35358
Nueva Vizcaya,1169,62,100995,102226
Quirino,0,0,7627,7627
Region III  (CENTRAL LUZON),821425,17811,3311350,4150586
Aurora,274,69,147087,147430
Bataan,37845,0,295064,332909
Bulacan,12016,0,101062,113078
Nueva Ecija,6949,962,31565,39476
Pampanga,95124,541,280177,375842
Angeles City,0,0,0,-
Clark,615521,0,622042,1237563
Tarlac,,,,
Tarlac City,7876,3221,21688,32785
Zambales,16031,0,189453,205484
SBMA,29789,13018,1623212,1666019
Olongapo City,0,0,0,-
Region IV-A  CALABARZON,257160,2029,4835870,5095059
Batangas,60735,1842,1213521,1276098
Alitagtag,0,0,1798,1798
Balayan,13161,0,88225,101386
Batangas City,0,0,51321,51321
Balete,0,0,2077,2077
Bauan,0,0,205,205
Calatagan,1,0,21626,21627
Cuenca,0,0,18399,18399
Laurel,0,0,382,382
Lemery,0,0,0,-
Lian,0,0,37754,37754
Lipa City,13852,0,63017,76869
Lobo,0,0,19354,19354
Mabini,5670,1193,119072,125935
Malvar,1723,0,15816,17539
Mataas na Kahoy,0,0,37839,37839
Nasugbu,10803,2,294938,305743
Rosario,201,647,1584,2432
San Juan,2499,0,369980,372479
Santo Tomas,12678,0,51781,64459
Taal,147,0,247,394
Talisay,0,0,18106,18106
Tanauan,0,0,0,-
Cavite,90160,0,684940,775100
Cavite City,0,0,0,-
Tagaytay City,73470,0,661275,734745
Trece Martirez,16690,0,23665,40355
Laguna,96705,73,1209243,1306021
Calamba City,60651,0,961980,1022631
Cavinti,0,0,1864,1864
Los Bañ0s,1330,0,57065,58395
Lumban,909,0,97896,98805
Majayjay,0,0,4281,4281
Nagcarlan,144,73,4796,5013
Rizal (Laguna),0,0,0,-
San Pablo,240,0,3015,3255
Sta. Rosa City,33334,0,49118,82452
Victoria,97,0,29228,29325
Quezon,7209,114,808541,815864
Agdangan,0,0,0,-
Alamat,2,0,1847,1849
Atimonan,0,0,73508,73508
Buenavista,10,0,612,622
Burdeos,0,0,0,-
Calauag,0,0,2227,2227
Catanauan,553,0,11241,11794
Candelaria,35,22,442,499
Dolores,0,0,4549,4549
Gen Luna,0,0,1129,1129
Gen. Nakar,0,0,35202,35202
Guinayangan,0,0,2311,2311
Gumaca,62,0,32543,32605
Infanta,0,0,1079,1079
Jomalig,2,0,1117,1119
Lucban,1800,1,81584,83385
Lucena City,0,0,0,-
Macelolon,0,0,7532,7532
Mauban,492,0,99580,100072
Padre Burgos,22,0,2183,2205
Pagbilao,0,0,0,-
Panukulan,0,0,178,178
Plaridel,0,0,833,833
Perez,0,0,23614,23614
Polillo,0,0,1631,1631
Quezon (Quezon),2,0,455,457
Real,0,0,63441,63441
Sampaloc,0,0,38873,38873
San Antonio,0,0,4035,4035
San Francisco,0,0,0,-
Sariaya,0,0,113633,113633
Tagkawayan,0,0,12395,12395
Tayabas,164,0,169304,169468
Tiaong,4065,91,21463,25619
Rizal,,,,
Antipolo City,1950,0,138684,140634
Angono,0,0,0,-
Baras,0,0,0,-
Binangonan,0,0,0,-
Cainta,0,0,0,-
Cordona,0,0,0,-
Jalajala,0,0,0,-
Morong,178,0,102428,102606
Pililia,0,0,0,-
Rodriguez,16,0,322144,322160
San Mateo,0,0,0,-
Tanay,207,0,324107,324314
Taytay,0,0,32262,32262
Teresa,0,0,0,-
Region IV-B MIMAROPA,416390,4517,1108030,1528937
Marinduque,82,-,33338,33420
Boac,80,0,22125,22205
Buenavista,2,0,3263,3265
Gasan,0,0,1157,1157
Mogpog,0,0,1809,1809
Sta. Cruz,0,0,4704,4704
Torrijos,0,0,280,280
Occidental Mindoro,4347,2,185499,189848
Abra de Ilog,0,0,0,-
Calintaan,0,0,9076,9076
Looc,0,0,0,-
Lubang,178,0,45514,45692
Magsaysay,17,0,4105,4122
Mamburao,422,0,35506,35928
Paluan,0,0,102,102
Rizal (Occidental Mindoro),0,0,0,-
Sablayan,3260,0,13390,16650
San Jose,470,2,75534,76006
Santa Cruz,0,0,2272,2272
Others,0,0,0,-
Oriental Mindoro,22425,137,119005,141567
Baco,830,0,0,830
Bansud,28,64,1069,1161
Bongabong,1666,0,2403,4069
Bulalacao,99,0,3715,3814
Calapan City,8120,0,73754,81874
Gloria,7293,0,310,7603
Mansalay,89,0,2912,3001
Naujan,0,0,13155,13155
Pinamalayan,155,0,3921,4076
Pola,24,0,410,434
Puerto Galera,1994,0,1453,3447
Roxas,215,73,6953,7241
San Teodoro,184,0,2886,3070
Socorro,1583,0,0,1583
Victoria,145,0,6064,6209
Palawan,101498,260,146367,248125
Aborlan,377,0,453,830
Araceli,0,0,791,791
