province,foreign,ofw,domestic,total
Davao del Sur,596,,63473,64069
Davao City,126298,48020,1838311,2012629
Davao Occcidental,,,1303,1303
Davao Oriental,6605,,183924,190529
Region XII (SOCCSSARGEN),20044,32,1240720,1260796
North Cotabato,34,,153412,153446
Kidapawan City,34,,153412,153446
Sarangani,6910,,107552,114462
South Cotabato,1090,32,180492,181614
Koronadal City,665,,153495,154160
Others,425,32,26997,27454
Sultan Kudarat,136,,34670,34806
Tacurong City,136,,28170,28306
Others,,,6500,6500
Cotabato Province,,,66478,66478
Cotabato City,1052,,103076,104128
General Santos City,10822,,595040,605862
Region XIII (CARAGA),63332,2036,1279873,1345241
Agusan del Norte,395,,45620,46015
Butuan City,9920,1477,365594,376991
Cabadbaran City,395,,33892,34287
Others,,,11728,11728
Agusan del Sur,524,,162027,162551
Dinagat Islands,2409,,82279,84688
Surigao del Norte,48872,559,415047,464478
Surigao City,13693,35,258176,271904
Others,35179,524,156871,192574
Surigao del Sur,1212,,209306,210518
Bislig City,594,,30460,31054
Tandag City,288,,102250,102538
Others,330,,76596,76926
GRAND TOTAL,7642835,226816,39179591,47049242
