province,foreign,ofw,domestic,total
Region VI (WESTERN VISAYAS),1162343 ,46909 ,4643685 ,5852937 
Aklan,1001511 ,42065 ,1177245 ,2220821 
Boracay,986920 ,42060 ,972994 ,2001974 
Bumanga,,,,
Kalibo,14437 ,,197959 ,212396 
New Washington,154 ,5 ,6292 ,6451 
Numancia,,,,
Tangalan,,,,
Antique,4757 ,,158168 ,162925 
Anini-y,486 ,,89948 ,90434 
Belison,,,11937 ,11937 
Bugasong,,,384 ,384 
Caluya,,,2233 ,2233 
Culasi,2137 ,,29051 ,31188 
Hamtic,,,141 ,141 
Libertad,4 ,,643 ,647 
Pandan,1912 ,,5843 ,7755 
Patnogon,,,52 ,52 
San Remegio,,,32 ,32 
Sebaste,102 ,,7928 ,8030 
San Jose,107 ,,5744 ,5851 
Sibalom,,,1264 ,1264 
Tibiao,,,144 ,144 
Tobias Fornier,,,2700 ,2701 
Valderrama,8 ,,124 ,132 
Capiz,3491 ,3408 ,222296 ,229195 
Cuartero,,,2218 ,2218 
Dao,18 ,19 ,2325 ,2362 
Dumalag,12 ,22 ,2829 ,2863 
Dumarao,19 ,,473 ,492 
lvisan,7 ,,4213 ,4220 
Jamindan,,,2438 ,2438 
Maayon,,,1148 ,1148 
Mambusao,,,2201 ,2201 
Panay,..,,1976 ,1976 
Panitan,,,1876 ,1876 
Pilar,40 ,10 ,1903 ,1953 
Pontevedra,61 ,86 ,14972 ,15119 
Pres. Roxas,,,4853 ,4853 
Roxas City,3257 ,3171 ,171225 ,177653 
Sapian,53 ,97 ,1464 ,1614 
Sigma,22 ,3 ,3214 ,3239 
Tapaz,2 ,,2968 ,2970 
Guimaras,3907 ,,124349 ,128256 
Buenavista,103 ,,4023 ,4126 
Jordan,181 ,,8486 ,8667 
Nueva Valencia,2789 ,,94670 ,97459 
San Lorenzo,443 ,,9250 ,9693 
Sibunag,391 ,,7920 ,8311 
Others,,,,
Iloilo Province,5547 ,13 ,305318 ,310878 
Ajuy,143 ,,2974 ,3117 
Alimodian,,,2897 ,2897 
Badiangan,72 ,,4373 ,4445 
Balasan,,,384 ,384 
