province,foreign,ofw,domestic,total
NCR (National Capital Region),321040,3706,392061,716807
Caloocan City,,,,
Las Pinas City,,,,
Makati City,,,,
Malabon City,,,,
Mandaluyong City,,,,
Manila,208069,3706,203086,414861
Marikina City,,,,
Muntinlupa City,,,,
Navotas City,,,,
Paranaque City,,,,
Pasay City,112971,,188975,301946
Pasig City,,,,
Quezon City,,,,
San Juan City,,,,
Taguig City,,,,
Valenzuela City,,,,
Pateros,,,,
CAR (Cordillera Administrative Region),100660,2120,1866927,1969707
Abra,106,,263,369
Apayao,12,168,2435,2615
Benguet,4301,1546,80341,86188
Baguio City,48261,242,1473245,1521748
lfugao,27016,164,44165,71345
Kalinga,8566,,111211,119777
Mountain Province,12396,,155267,167665
Region I (ILOCOS REGION),104908,1898,2276097,2382903
Ilocos Norte,,,,
Rocas Norte,56253,1535,579460,637248
Bangui,,,,
Batac,,,,
Currimao,436,,32136,32572
Laoag City,12150,1535,177460,191145
Pagudpud,42341,,334541,376882
Panay,,,6197,6197
Pasuquin,,,3805,3805
San Nicolas,1326,,25321,26647
Ilocos Sur,6585,,388610,395195
Bantay,1752,,66460,68212
Candon City,482,,20201,20683
Sinait,,,,
Vigan City,4351,,301949,306300
La Union,27915,363,563154,591432
Agoo,,,35686,35686
Aringay,,,28576,28576
Bacnotan,,,28791,28791
Baloaon,,,10675,10675
Bauang,11669,,72191,83860
Caba,,,,
Luna,,,41002,41002
Naguilian,,,3203,3203
Pugo,,,9537,9537
Rosario,2,,7420,7422
San Fernando City,6890,363,109146,116399
San Juan,9024,,209913,218937
Santol,,,3025,3025
Sto. Tomas,34,,280,314
