province,foreign,ofw,domestic,total
Borbon,27,,229,256
Boljoon,2338,,5667,8005
Carcar,1144,,3427,4571
Carmen,,,,
Catmon,,,,
Cebu City,949698,13961,1778942,2742601
Lapu-lapu City,1023031,2560,319240,1344831
Mandaue City,20850,82,47454,68386
Cordova,9053,,5287,14340
Daanbantayan,72589,603,15099,88291
Dalaguete,1621,,22792,24413
Danao City,2139,,16145,18284
Ginatllan,27,,400,427
Madridejos,,,,
Medellin,11917,,20475,32392
Minglanilla,,,3009,3009
Moalboal,24260,,4024,28284
Oslob,39808,1600,42610,84018
Pilar,46,2,305,353
Pinamungahan,3296,2,15649,18947
Poro,589,,1856,2445
Ronda,155,,132,287
Samboan,3292,23,252,3567
San Fernando,5875,,2433,8308
San Francisco,9399,,17302,26701
San Remegio,18373,,63428,81801
Santander,2555,,1184,3739
Santa Fe,18429,,119133,137562
Slbonga,,,540,540
Sogod,218,,1758,1976
Talisay,,,,
Toledo City,7294,,9601,16895
Tudela,33,,686,719
Negros Oriental,148719,4662,716393,869774
Amlan,292,,1523,1815
Bacong,1580,,1938,3518
Bais,2256,,4673,6929
Basay,1577,,4492,6069
Bayawan,838,,13191,14029
Canlaon,185,,12427,12612
Dauin,11092,14,21806,32912
Dumaguete,110039,4319,564323,678681
Guijulngan,31,,2580,2611
La Libertad,122,,6059,6181
Jimalaud,53,,491,544
Mabinay,697,,20370,21067
Manjuyod,322,8,12202,12532
San Jose,292,,202,494
Siaton,1419,,7214,6633
Sibulan,600,,683,1283
Tanjay,62,25,1932,2019
Valencia,5191,,36133,41324
Zamboanguita,12071,296,4154,16521
Siquijor,44396,,52392,96788
E. Villanueva,405,,472,877
Larena,2444,,6937,9381
Lazi,1491,,1631,3122
