province,foreign,ofw,domestic,total
Banate,,,20308 ,20308 
Barotac Nuevo,23 ,,1057 ,1080 
Barotac Viejo,2 ,,1755 ,1757 
Batad,,,287 ,287 
Bingawan,,,1007 ,1007 
Cabatuan,5 ,,2095 ,2100 
Calinog,21 ,,3177 ,3198 
Caries,1742 ,,53653 ,55395 
Concepcion,94 ,,13878 ,13972 
Dingle,8 ,,185 ,193 
Duenas,17 ,13 ,2043 ,2073 
Dumangas,29 ,,2363 ,2392 
Estancia,1380 ,,38189 ,39569 
Guimbal,200 ,,29233 ,29433 
Igbaras,13 ,,2173 ,2186 
Januiay,,,6041 ,6041 
Lambunao,13 ,,1379 ,1392 
Leganes,269 ,,14139 ,14408 
Lemery,5 ,,158 ,163 
Leon,18 ,,9737 ,9755 
Maasin,,,9241 ,9241 
Miagao,2 ,,567 ,569 
New Lucena,18 ,,9859 ,9877 
Oton,492 ,,6401 ,6893 
Passi,75 ,,3652 ,3727 
Pavia,9 ,,2653 ,2662 
Pototan,67 ,,9649 ,9716 
San Dionisio,88 ,,1054 ,1142 
San Joaquin,135 ,,19702 ,19837 
San Miguel,85 ,,5964 ,6049 
Sara,52 ,,9554 ,9606 
Sta. Barbara,161 ,,3905 ,4066 
Tigbauan,291 ,,8930 ,9221 
Tubungan,,,48 ,48 
Zarraga,18 ,,654 ,672 
Negros Occidental,39043 ,357 ,852799 ,892199 
Bago,651 ,4 ,26234 ,26889 
Binalbagan,53 ,,12885 ,12938 
Cadiz,2724 ,20 ,45170 ,47914 
Calatrava,4 ,,2068 ,2072 
Candoni,,,,
Cauayan,2451 ,,13168 ,15619 
DS Benedicto,,,,
Escalante,152 ,,10928 ,11080 
Hinigaran,566 ,,12239 ,12805 
Hinobaan,192 ,73 ,7372 ,7637 
Kabankalan,1297 ,,47508 ,48805 
La Carlota,32 ,,11266 ,11298 
Las Castellana,,,8452 ,8452 
Mambukal,,,,
Manapla,347 ,,1647 ,1994 
Moises,,,,
Murcia,2468 ,,421881 ,424349 
Pulupandan,,,,
