province,foreign,ofw,domestic,total
Maria,556,,3617,4173
San Juan,12815,,9884,22699
Siquijor (Siquijor),1719,,7330,9049
Region VIII (EASTERN VISAYAS),35549,511,927851,963911
Biliran,,,31262,31262
Almeria,,,6132,6132
Caibiran,,,1401,1401
Cabucgayan,,,,
Culaba,,,,
Kawayan,,,,
Maripipi,,,,
Naval,,,23729,23729
Eastern Samar,1435,,15916,17351
Borongan City,397,,12314,12711
Guiuan,1038,,3602,4640
Leyte,6762,4,181055,187821
Abuyog,,,42467,42467
Alburera,,,9856,9856
Bato,,,3996,3996
Baybay City,1475,4,57427,58906
Hilongos,,,8519,8519
Inopacan,,,,
Isabel,95,,2861,2956
Kanangga,,,,
McArthur,,,,
Ormoc City,5192,,52554,57746
Palo,,,,
San Isidro,,,3375,3375
Tacloban City,17853,507,358214,376574
Northern Samar,508,,60541,61049
Allen,121,,11021,11142
Biri,79,,925,1004
Capul,45,,367,412
Catarman,160,,34897,35057
Navar,14,,372,386
Palapag,,,,
San Antonio,89,,12276,12365
San Roque,,,683,683
Victoria,,,,
Samar,3882,,185141,189023
Calbayog City,3882,,89984,93866
Catbalogan,,,95157,95157
Basey,,,,
Marabut,,,,
Southern Leyte,5109,,95722,100831
Hinunangan,235,,976,1211
Hinundayan,,,387,387
Limasawa,207,,4671,4878
Maasin City,2062,,72408,74470
Macrohon,,,4610,4610
Padre Burgos,,,,
Pintuyan,50,,52,102
Saint Bernard,,,1575,1575
Sogod,1035,,9470,10505
Others,1520,,1573,3093
Region IX (ZAMBOANGA PENINSULA),,,,
Zamboanga del Norte,4384,3,206091,210478
Dapitan City,454,,42948,43402
Dipolog City,3930,3,163143,167076
Zamboanga del Sur,,,,
Zamboanga City,3444,12048,354995,370487
Pagadian City,,,,
Zamboanga Sibugay,,,,
Isabela City,,,,
Region X (NORTHERN MINDANAO),40867,128,1623861,1664856
Bukidnon,2006,70,187131,189207
Malaybalay City,275,,26624,26899
Valencia City,1547,,152300,153847
Others,184,70,8207,8461
Camiguin,14028,,519492,533520
Lanao del Norte,201,,25130,25331
Iligan City,1585,27,199217,200829
Misamis Occidental,1981,,283313,285294
Ozamis City,1293,,241761,243054
Tangub City,53,,6874,6927
Oroquieta City,171,,9527,9698
Others,464,,25151,25615
Misamis Oriental,2750,31,49830,52611
Gingoog City,121,31,27329,27481
Others,2629,,22501,25130
Cagayan de Oro City,18316,,359748,378064
Region XI  (DAVAO REGION),137689,7012,2380104,2524805
Compostela Valley,10,,112079,112089
Davao del Norte,21988,,559915,581903
Asuncion,,,,
Island Garden City of Samal,,,,
Kapalong,,,,
New Corella,,,,
Panabo City,,,,
Tagum City,,,,
Others,21988,,559915,581903
Davao del Sur,916,,22448,23364
Davao City,111553,7012,1411342,1529907
Davao Oriental,3222,,274320,277542
Region XII  (SOCCSSARGEN),23419,0,692982,716401
North Cotabato,208,,58080,58288
Kidapawan City,208,,58080,58288
Sarangani,9250,,38689,47939
South Cotabato,560,,127233,127793
General Santos City,9785,,375392,385177
Koronadal City,291,,49118,49409
Others,269,,78115,78384
Sultan Kudarat,123,,20829,20952
Tacurong City,109,,17004,17113
Others,14,,3825,3839
Cotabato Province,,,16675,16675
Maguindanao,,,,
Cotabato City,3493,,56084,59577
Region XIII (CARAGA),63957,5031,947653,1016641
Agusan del Norte,367,15,50738,51120
Butuan City,15197,4192,239059,258448
Cabadbaran City,56,0,23586,23642
Others,311,15,27152,27478
Agusan del Sur,279,,120683,120962
Dinagat Islands,1167,5,32910,34082
Surigao del Norte,45405,819,321212,367436
Surigao City,18634,494,225921,245049
Others,26771,325,95291,122387
Surigao del Sur,1542,,183051,115057
Bislig City,644,,51306,51950
Tandag City,496,,62611,63107
Others,402,,69134,69536
GRAND TOTAL,6091535,146513,24728976,30967024
